Security,CO24 Comdty                                                     ,
Start Date,2/7/2005 0:00,
End Date,4/12/2023 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
4/12/2023,75.52,#N/A N/A
4/11/2023,74.49,382
4/10/2023,73.73,#N/A N/A
4/6/2023,74.16,#N/A N/A
4/5/2023,74.27,813
4/4/2023,74.07,1
4/3/2023,74.16,41
3/31/2023,73.07,100
3/30/2023,72.46,#N/A N/A
3/29/2023,72.09,12
3/28/2023,72.47,#N/A N/A
3/27/2023,72.39,25
3/24/2023,70.35,#N/A N/A
3/23/2023,70.71,16
3/22/2023,70.98,13
3/21/2023,70.35,33
3/20/2023,69.92,1
3/17/2023,69.28,4
3/16/2023,69.72,#N/A N/A
3/15/2023,68.95,7
3/14/2023,70.89,10
3/13/2023,72.66,#N/A N/A
3/10/2023,73.62,2
3/9/2023,73.18,#N/A N/A
3/8/2023,73.88,#N/A N/A
3/7/2023,74.21,#N/A N/A
3/6/2023,76.03,#N/A N/A
3/3/2023,75.73,#N/A N/A
3/2/2023,74.72,#N/A N/A
3/1/2023,74.38,#N/A N/A
2/28/2023,74.11,8
2/27/2023,73.87,9
2/24/2023,74.73,71
2/23/2023,74.63,32
2/22/2023,74.07,33
2/21/2023,74.95,2
2/20/2023,75.7,#N/A N/A
2/17/2023,74.72,38
2/16/2023,76.06,61
2/15/2023,76.05,41
2/14/2023,76,57
2/13/2023,76.26,781
2/10/2023,75.79,91
2/9/2023,74.75,70
2/8/2023,75.29,166
2/7/2023,74.48,29
2/6/2023,73.15,90
2/3/2023,72.44,#N/A N/A
2/2/2023,74.3,230
2/1/2023,74.4,64
1/31/2023,76.3,1123
1/30/2023,75.18,20
1/27/2023,75.99,4
1/26/2023,76.95,6
1/25/2023,76.74,14
1/24/2023,77.06,2
1/23/2023,78.3,25
1/20/2023,77.67,16
1/19/2023,76.99,53
1/18/2023,76.31,175
1/17/2023,76.47,12
1/16/2023,76.35,86
1/13/2023,76.9,#N/A N/A
1/12/2023,76.23,135
1/11/2023,75.69,1
1/10/2023,74.37,97
1/9/2023,74.52,10
1/6/2023,73.38,41
1/5/2023,73.1,152
1/4/2023,72.73,19
1/3/2023,74.26,#N/A N/A
1/2/2023,76.29,#N/A N/A
12/30/2022,76.29,42
12/29/2022,75.26,7
12/28/2022,76.28,1
12/27/2022,76.41,37
12/23/2022,76.21,60
12/22/2022,74.1,#N/A N/A
12/21/2022,74.84,106
12/20/2022,74.16,77
12/19/2022,73.65,37
12/16/2022,73.49,65
12/15/2022,74.17,20
12/14/2022,75.64,159
