Security,CO13 Comdty                                                     ,
Start Date,4/16/2003 0:00,
End Date,4/12/2023 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
4/12/2023,80.08,14312
4/11/2023,78.84,12777
4/10/2023,77.78,6228
4/6/2023,78.33,10404
4/5/2023,78.46,25892
4/4/2023,78.37,26715
4/3/2023,78.45,37317
3/31/2023,76.16,303
3/30/2023,75.21,298
3/29/2023,74.48,863
3/28/2023,74.96,989
3/27/2023,74.8,970
3/24/2023,72.11,2553
3/23/2023,72.74,608
3/22/2023,73.25,492
3/21/2023,72.27,772
3/20/2023,71.44,1273
3/17/2023,70.67,1029
3/16/2023,71.62,2588
3/15/2023,70.75,2463
3/14/2023,73.6,402
3/13/2023,76.15,914
3/10/2023,77.52,306
3/9/2023,76.77,642
3/8/2023,77.71,235
3/7/2023,78.24,264
3/6/2023,80.48,712
3/3/2023,80.08,281
3/2/2023,78.97,345
3/1/2023,78.54,987
2/28/2023,78.2,208
2/27/2023,77.45,1299
2/24/2023,78.3,255
2/23/2023,77.82,335
2/22/2023,76.86,1496
2/21/2023,78.36,702
2/20/2023,79.22,583
2/17/2023,78.2,525
2/16/2023,79.85,239
2/15/2023,79.97,331
2/14/2023,80.14,327
2/13/2023,80.6,812
2/10/2023,80.19,618
2/9/2023,78.78,550
2/8/2023,79.35,1092
2/7/2023,78.38,891
2/6/2023,76.5,1765
2/3/2023,75.6,524
2/2/2023,77.78,917
2/1/2023,77.92,684
1/31/2023,80.33,3263
1/30/2023,79.14,4291
1/27/2023,80.51,2812
1/26/2023,81.79,1651
1/25/2023,81.27,1770
1/24/2023,81.54,3188
1/23/2023,83,2506
1/20/2023,82.43,2430
1/19/2023,81.43,4018
1/18/2023,80.63,4048
1/17/2023,80.96,3583
1/16/2023,80.2,1036
1/13/2023,80.87,4862
1/12/2023,79.93,5538
1/11/2023,79.03,6815
1/10/2023,77.27,4995
1/9/2023,77.32,5501
1/6/2023,76.15,2951
1/5/2023,75.95,2933
1/4/2023,75.38,2584
1/3/2023,77.83,2115
1/2/2023,80.3,#N/A N/A
12/30/2022,80.3,1420
12/29/2022,78.98,1038
12/28/2022,79.89,1436
12/27/2022,80.37,820
12/23/2022,80.11,1583
12/22/2022,77.5,1291
12/21/2022,78.38,1818
12/20/2022,77.19,2455
12/19/2022,76.62,1092
12/16/2022,76.38,3513
12/15/2022,77.47,2934
12/14/2022,79.09,1897
12/13/2022,77.93,2679
12/12/2022,76.76,3764
12/9/2022,75.49,2997
12/8/2022,75.42,6412
12/7/2022,76.13,5841
12/6/2022,77.82,7288
12/5/2022,80.18,6650
12/2/2022,82.13,8065
12/1/2022,82.34,1908
11/30/2022,83.04,1810
11/29/2022,80.7,1707
11/28/2022,80.07,2944
11/25/2022,79.57,1416
11/24/2022,80.84,1910
11/23/2022,80.51,3212
11/22/2022,81.56,1070
11/21/2022,81.28,1767
11/18/2022,80.63,2476
11/17/2022,81.24,620
11/16/2022,82.78,741
11/15/2022,84.15,962
11/14/2022,82.77,424
11/11/2022,84.01,735
11/10/2022,82.22,952
11/9/2022,82.01,1216
11/8/2022,84.24,715
11/7/2022,85.83,833
11/4/2022,86.09,2446
11/3/2022,83.36,749
11/2/2022,84.47,1208
11/1/2022,82.79,1834
10/31/2022,82.29,32200
10/28/2022,82.78,25271
10/27/2022,83.97,22720
10/26/2022,83.17,26611
10/25/2022,81.74,25200
10/24/2022,80.84,25816
10/21/2022,80.71,24323
10/20/2022,80.37,47783
10/19/2022,80.95,59297
10/18/2022,79.96,44184
10/17/2022,80.26,25691
10/14/2022,79.81,26550
10/13/2022,81.82,29554
10/12/2022,80.22,31283
10/11/2022,81.52,33140
10/10/2022,83.24,22679
10/7/2022,84.39,35850
10/6/2022,82.37,26594
10/5/2022,81.34,43236
10/4/2022,79.49,40555
10/3/2022,77.17,30358
9/30/2022,75.24,2420
9/29/2022,76.82,730
9/28/2022,77.76,945
9/27/2022,75.44,597
9/26/2022,74.63,727
9/23/2022,76.46,2017
9/22/2022,79.9,1398
9/21/2022,79.2,857
9/20/2022,79.75,883
9/19/2022,81.13,764
9/16/2022,80.82,1431
9/15/2022,80.82,362
9/14/2022,83.99,632
9/13/2022,83.6,1536
9/12/2022,84.21,2670
9/9/2022,83.06,449
9/8/2022,80.37,602
9/7/2022,79.92,2112
9/6/2022,83.47,2033
9/5/2022,84.31,555
9/2/2022,83.28,719
9/1/2022,83.23,2111
8/31/2022,86.07,5752
8/30/2022,87.03,1610
8/29/2022,89.93,1063
8/26/2022,88.12,975
8/25/2022,88.38,5480
8/24/2022,90.14,2700
8/23/2022,89.92,1469
8/22/2022,88.01,1278
8/19/2022,88.15,908
8/18/2022,87.6,915
8/17/2022,86.55,626
8/16/2022,85.84,391
8/15/2022,87.32,662
8/12/2022,88.86,1106
8/11/2022,89.89,1822
8/10/2022,88.69,3048
8/9/2022,87.18,1730
8/8/2022,87.46,1541
8/5/2022,85.38,874
8/4/2022,85.11,3362
8/3/2022,87.76,1927
8/2/2022,89.75,753
8/1/2022,88.54,1064
7/29/2022,91.25,3258
7/28/2022,89.69,2842
7/27/2022,90.15,2753
7/26/2022,88.01,3807
7/25/2022,88.18,3111
7/22/2022,86.34,3653
7/21/2022,87.19,3903
7/20/2022,88.75,1721
7/19/2022,88.66,4550
7/18/2022,88.25,2663
7/15/2022,84.85,2863
7/14/2022,83.7,5557
7/13/2022,85.2,3744
7/12/2022,84.6,3077
7/11/2022,89.55,2734
7/8/2022,88.38,3480
7/7/2022,86.38,3128
7/6/2022,83.74,4152
7/5/2022,84.22,3537
7/4/2022,92.73,699
7/1/2022,91.45,2208
6/30/2022,91.37,3234
6/29/2022,94.84,954
6/28/2022,96.35,2259
6/27/2022,93.81,782
6/24/2022,92.4,1012
6/23/2022,90.6,1075
6/22/2022,93.78,1017
6/21/2022,95.83,508
6/20/2022,96.13,386
6/17/2022,95.38,1489
6/16/2022,99.95,983
6/15/2022,98.83,562
6/14/2022,100.1,981
6/13/2022,101.5,1020
6/10/2022,101.24,392
6/9/2022,102.44,1195
6/8/2022,102.1,1093
6/7/2022,100.13,546
6/6/2022,98.27,219
6/3/2022,98.28,99
6/2/2022,97.15,99
6/1/2022,95.77,258
5/31/2022,95.95,749
5/30/2022,97.37,443
5/27/2022,96.63,448
5/26/2022,96.1,1310
5/25/2022,94.59,1150
5/24/2022,94,661
5/23/2022,93.61,407
5/20/2022,92.65,410
5/19/2022,92.99,706
5/18/2022,91.15,216
5/17/2022,93.33,866
5/16/2022,94.49,990
5/13/2022,93.96,1471
5/12/2022,92.25,817
5/11/2022,92.81,2233
5/10/2022,88.91,1351
5/9/2022,90.58,896
5/6/2022,94.38,339
5/5/2022,93.39,1945
