Security,CO19 Comdty                                                     ,
Start Date,4/16/2004 0:00,
End Date,4/12/2023 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
4/12/2023,77.46,24902
4/11/2023,76.31,18178
4/10/2023,75.43,8426
4/6/2023,75.89,16325
4/5/2023,76,36664
4/4/2023,75.84,29743
4/3/2023,75.94,60704
3/31/2023,74.38,19
3/30/2023,73.64,206
3/29/2023,73.08,240
3/28/2023,73.53,117
3/27/2023,73.41,250
3/24/2023,71.06,534
3/23/2023,71.54,72
3/22/2023,71.93,1394
3/21/2023,71.16,220
3/20/2023,70.57,230
3/17/2023,69.89,228
3/16/2023,70.57,885
3/15/2023,69.78,918
3/14/2023,72.12,282
3/13/2023,74.26,342
3/10/2023,75.39,230
3/9/2023,74.8,190
3/8/2023,75.61,981
3/7/2023,76.04,499
3/6/2023,78.05,677
3/3/2023,77.68,141
3/2/2023,76.63,160
3/1/2023,76.24,832
2/28/2023,75.98,409
2/27/2023,75.52,68
2/24/2023,76.39,202
2/23/2023,76.15,137
2/22/2023,75.41,358
2/21/2023,76.51,205
2/20/2023,77.32,12
2/17/2023,76.32,592
2/16/2023,77.79,124
2/15/2023,77.84,949
2/14/2023,77.89,146
2/13/2023,78.24,266
2/10/2023,77.79,483
2/9/2023,76.6,53
2/8/2023,77.15,180
2/7/2023,76.28,306
2/6/2023,74.73,324
2/3/2023,73.95,89
2/2/2023,75.95,113
2/1/2023,76.05,776
1/31/2023,78.1,506
1/30/2023,76.93,159
1/27/2023,77.97,570
1/26/2023,79.08,151
1/25/2023,78.76,377
1/24/2023,79.06,149
1/23/2023,80.41,256
1/20/2023,79.78,692
1/19/2023,78.96,320
1/18/2023,78.25,1057
1/17/2023,78.46,358
1/16/2023,78.05,101
1/13/2023,78.65,281
1/12/2023,77.87,604
1/11/2023,77.18,881
1/10/2023,75.67,348
1/9/2023,75.8,349
1/6/2023,74.64,224
1/5/2023,74.39,901
1/4/2023,73.95,651
1/3/2023,75.84,1622
1/2/2023,78.05,#N/A N/A
12/30/2022,78.05,1298
12/29/2022,76.8,433
12/28/2022,77.77,65
12/27/2022,78.04,85
12/23/2022,77.83,143
12/22/2022,75.45,13
12/21/2022,76.27,49
12/20/2022,75.39,2
12/19/2022,74.85,93
12/16/2022,74.67,41
12/15/2022,75.51,12
12/14/2022,77.06,28
12/13/2022,76.18,143
12/12/2022,75.44,54
12/9/2022,74.31,31
12/8/2022,74.07,65
12/7/2022,74.71,6
12/6/2022,76.25,49
12/5/2022,78.37,51
12/2/2022,80.03,78
12/1/2022,80.14,9
11/30/2022,80.63,7
11/29/2022,78.65,1
11/28/2022,78.06,52
11/25/2022,77.56,2
11/24/2022,78.63,18
11/23/2022,78.3,16
11/22/2022,79.08,132
11/21/2022,78.91,1
11/18/2022,78.22,27
11/17/2022,78.65,39
11/16/2022,79.77,74
11/15/2022,81.12,6
11/14/2022,79.78,9
11/11/2022,80.69,23
11/10/2022,79.05,13
11/9/2022,79.03,15
11/8/2022,80.99,137
11/7/2022,82.4,110
11/4/2022,82.63,21
11/3/2022,80.29,#N/A N/A
11/2/2022,81.33,73
11/1/2022,79.79,1
10/31/2022,79.51,4662
10/28/2022,79.76,4087
10/27/2022,80.81,3005
10/26/2022,80.08,4219
10/25/2022,78.82,2160
10/24/2022,77.86,3322
10/21/2022,77.89,2835
10/20/2022,77.78,5012
10/19/2022,78.24,7455
10/18/2022,77.38,6742
10/17/2022,77.35,2955
10/14/2022,76.78,2732
10/13/2022,78.51,4626
10/12/2022,77.2,5388
10/11/2022,78.47,10100
10/10/2022,79.89,3192
10/7/2022,80.86,6758
10/6/2022,79.21,6571
10/5/2022,78.25,11317
10/4/2022,76.56,6105
10/3/2022,74.55,4755
9/30/2022,72.83,31
9/29/2022,74.32,21
9/28/2022,75.31,38
9/27/2022,73.2,48
9/26/2022,72.54,19
9/23/2022,74,206
9/22/2022,76.96,204
9/21/2022,76.37,20
9/20/2022,76.88,23
9/19/2022,78.45,26
9/16/2022,78.32,189
9/15/2022,78.36,225
9/14/2022,81.17,11
9/13/2022,80.87,226
9/12/2022,81.15,367
9/9/2022,80.01,8
9/8/2022,77.47,61
9/7/2022,77.19,112
9/6/2022,80.23,74
9/5/2022,80.6,70
9/2/2022,80.16,#N/A N/A
9/1/2022,80.17,#N/A N/A
8/31/2022,82.77,236
8/30/2022,83.48,122
8/29/2022,85.99,75
8/26/2022,84.64,51
8/25/2022,84.82,20
8/24/2022,86.26,11
8/23/2022,86.24,20
8/22/2022,84.8,505
8/19/2022,84.87,126
