Security,CO6 Comdty                                                      ,
Start Date,4/11/2003 0:00,
End Date,4/12/2023 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
6/2/2022,106.51,19349
6/1/2022,104.92,18572
5/31/2022,105.67,123777
5/30/2022,107.46,34855
5/27/2022,106.2,89773
5/26/2022,105.44,80101
5/25/2022,103.01,61537
5/24/2022,102.28,73397
5/23/2022,102.01,62227
5/20/2022,101.04,53572
5/19/2022,101.24,103019
5/18/2022,98.76,95405
5/17/2022,101.61,113450
5/16/2022,103.37,87790
5/13/2022,102.24,70223
5/12/2022,99.64,88269
5/11/2022,100.08,107684
5/10/2022,95.84,120849
5/9/2022,98.55,98430
5/6/2022,103.61,84711
5/5/2022,102,99720
5/4/2022,101.73,101645
5/3/2022,97.45,66285
5/2/2022,98.78,63247
4/29/2022,99.79,32744
4/28/2022,100.4,33536
4/27/2022,99.4,23214
4/26/2022,99.09,33949
4/25/2022,97.36,32769
4/22/2022,100.41,20417
4/21/2022,102.53,23733
4/20/2022,101.14,28024
4/19/2022,100.71,30698
4/18/2022,105.39,14741
4/14/2022,105.03,25675
4/13/2022,103.42,28022
4/12/2022,100.74,32480
4/11/2022,96.16,25566
4/8/2022,98.86,23745
4/7/2022,96.95,36284
4/6/2022,96.51,30876
4/5/2022,100.17,20523
4/4/2022,100.93,23125
4/1/2022,98.03,33045
3/31/2022,98.04,51830
3/30/2022,101.78,28886
3/29/2022,98.12,46095
3/28/2022,98.63,27334
3/25/2022,104.69,27134
3/24/2022,103.02,32184
3/23/2022,105.23,38667
3/22/2022,101.57,32558
3/21/2022,101.73,25511
3/18/2022,97.06,19565
3/17/2022,95.56,25671
3/16/2022,89.46,26062
3/15/2022,91.5,34870
3/14/2022,94.67,28958
3/11/2022,99.36,31350
3/10/2022,95.59,48968
3/9/2022,95.55,55577
3/8/2022,108.85,60469
3/7/2022,106.46,40428
3/4/2022,103.58,36646
3/3/2022,95.9,42590
3/2/2022,95.94,43517
3/1/2022,91.21,62363
2/28/2022,89.74,58677
2/25/2022,87.65,38687
2/24/2022,88.69,109488
2/23/2022,88.82,36777
2/22/2022,88.09,46396
2/21/2022,87.71,26197
2/18/2022,86.4,45418
2/17/2022,85.69,42663
2/16/2022,86.82,68350
2/15/2022,85.88,38643
2/14/2022,88.96,41830
2/11/2022,87.87,63490
2/10/2022,86.13,40835
2/9/2022,86.26,33053
2/8/2022,85.33,41439
2/7/2022,86.93,29611
2/4/2022,87.05,32926
2/3/2022,85.57,40194
2/2/2022,84.18,33483
2/1/2022,83.77,27697
1/31/2022,84.68,22804
1/28/2022,84.11,31224
1/27/2022,84.15,22811
1/26/2022,84.88,25580
1/25/2022,83.67,18843
1/24/2022,82.18,21417
1/21/2022,83.7,20539
1/20/2022,84.28,20236
1/19/2022,84.16,26609
1/18/2022,83.5,29798
1/17/2022,82.59,12382
1/14/2022,82.23,22952
1/13/2022,80.87,18545
1/12/2022,81.07,28039
1/11/2022,80.37,17684
1/10/2022,77.89,16841
1/7/2022,78.51,16537
1/6/2022,78.74,20775
1/5/2022,77.85,24387
1/4/2022,77.56,16598
1/3/2022,76.57,7938
12/31/2021,75.32,9905
12/30/2021,77.52,10224
12/29/2021,77.22,16390
12/28/2021,76.65,7491
12/27/2021,76.18,4747
12/24/2021,73.65,6419
12/23/2021,74.6,11626
12/22/2021,73.45,12333
12/21/2021,72.45,19431
12/20/2021,70.23,25611
12/17/2021,71.99,23467
12/16/2021,73.4,20379
12/15/2021,72.46,19341
12/14/2021,72.48,17484
12/13/2021,73.07,13871
12/10/2021,73.53,15326
12/9/2021,73.02,21182
12/8/2021,74.3,26990
12/7/2021,73.71,21789
12/6/2021,71.36,20250
12/3/2021,68.46,32372
12/2/2021,68.13,62726
12/1/2021,67.31,44778
11/30/2021,67.82,188575
11/29/2021,71.62,125523
11/26/2021,69.94,181138
11/25/2021,78.66,23605
11/24/2021,78.66,70644
11/23/2021,78.88,121283
11/22/2021,76.66,77442
11/19/2021,75.59,109895
11/18/2021,77.6,94186
11/17/2021,76.49,81159
11/16/2021,78.23,57930
11/15/2021,77.94,58653
11/12/2021,77.92,47266
11/11/2021,78.52,68790
11/10/2021,78.09,75363
11/9/2021,79.92,75472
11/8/2021,79.1,49726
11/5/2021,78.54,71317
11/4/2021,76.38,91906
11/3/2021,77.18,81196
11/2/2021,79.45,50702
11/1/2021,79.37,65947
10/29/2021,79.63,26734
10/28/2021,79.83,27244
10/27/2021,80.07,30377
10/26/2021,81.67,17701
10/25/2021,81.35,29084
10/22/2021,80.87,36658
10/21/2021,80.63,18191
10/20/2021,81.93,19699
10/19/2021,81.13,15474
10/18/2021,80.57,14794
10/15/2021,81.01,14817
10/14/2021,80.43,17049
10/13/2021,79.81,22119
10/12/2021,79.87,19708
10/11/2021,79.98,17576
10/8/2021,78.78,19868
10/7/2021,78.46,19535
10/6/2021,77.57,19564
10/5/2021,78.94,19671
10/4/2021,77.62,20772
10/1/2021,75.88,15419
9/30/2021,75.42,29199
9/29/2021,75.34,16073
9/28/2021,75.47,20403
9/27/2021,75.78,24048
9/24/2021,74.23,16733
9/23/2021,73.49,16792
9/22/2021,72.43,18991
9/21/2021,70.85,13320
9/20/2021,70.36,13277
9/17/2021,71.86,15644
9/16/2021,72.38,14986
9/15/2021,72.3,21088
9/14/2021,70.77,15802
9/13/2021,70.82,15650
9/10/2021,70.22,11691
9/9/2021,68.79,22003
9/8/2021,69.69,15647
9/7/2021,69.22,12491
9/6/2021,69.77,6283
9/3/2021,70.1,9272
9/2/2021,70.52,13818
9/1/2021,69.28,10652
8/31/2021,69.56,21244
8/30/2021,69.95,22374
8/27/2021,69.53,19715
8/26/2021,68.11,21448
8/25/2021,69.02,34232
8/24/2021,68.27,30923
8/23/2021,66.49,32240
8/20/2021,63.14,29061
8/19/2021,64.36,46554
8/18/2021,66.03,34196
8/17/2021,66.87,17809
8/16/2021,67.49,22824
8/13/2021,68.49,16138
8/12/2021,69.12,25900
8/11/2021,69.27,35343
8/10/2021,68.42,30078
8/9/2021,66.89,38389
8/6/2021,68.56,29320
8/5/2021,68.81,31276
8/4/2021,67.88,34542
8/3/2021,69.5,23799
8/2/2021,69.75,22964
7/30/2021,72.45,16352
7/29/2021,72.31,14824
7/28/2021,71.06,12612
7/27/2021,70.58,18611
7/26/2021,70.72,11692
7/23/2021,70.56,14762
7/22/2021,70.39,19638
7/21/2021,69.17,19960
7/20/2021,66.6,18564
7/19/2021,66,24762
7/16/2021,70.58,18907
7/15/2021,70.25,10364
7/14/2021,71.2,15720
7/13/2021,72.8,10838
7/12/2021,71.57,12765
7/9/2021,71.76,10427
7/8/2021,70.38,19581
7/7/2021,69.65,13646
7/6/2021,70.59,27791
7/5/2021,73.14,9592
7/2/2021,72.55,17011
7/1/2021,72.21,24664
6/30/2021,71.77,17376
6/29/2021,71.69,17529
6/28/2021,71.57,15978
6/25/2021,72.57,15759
6/24/2021,72.1,14825
6/23/2021,71.78,22596
6/22/2021,71.29,13411
6/21/2021,71.11,29494
6/18/2021,70.09,15770
6/17/2021,69.74,28128
6/16/2021,71.07,24740
6/15/2021,70.83,17777
6/14/2021,70.02,15985
6/11/2021,69.88,25018
6/10/2021,69.78,22455
6/9/2021,69.63,19939
6/8/2021,69.71,16671
6/7/2021,69.13,14875
6/4/2021,69.38,10998
6/3/2021,68.8,13470
6/2/2021,68.85,13673
6/1/2021,67.86,14568
5/31/2021,67.05,2381
5/28/2021,66.9,77613
5/27/2021,67.38,76272
5/26/2021,66.98,70453
5/25/2021,66.73,82602
5/24/2021,66.74,92830
5/21/2021,64.85,135293
5/20/2021,63.65,158187
5/19/2021,64.79,121462
5/18/2021,66.7,142613
5/17/2021,67.23,91049
5/14/2021,66.63,101771
5/13/2021,65.46,86296
5/12/2021,67.68,108232
5/11/2021,66.95,87879
5/10/2021,66.56,74962
5/7/2021,66.37,71878
5/6/2021,65.97,92365
5/5/2021,66.64,84151
5/4/2021,66.52,79569
5/3/2021,65.26,33081
4/30/2021,64.82,18056
4/29/2021,66.1,28055
4/28/2021,65.12,28898
4/27/2021,64.32,18809
4/26/2021,63.49,21053
4/23/2021,63.69,14516
4/22/2021,63.02,18417
4/21/2021,62.89,15598
4/20/2021,63.96,23646
4/19/2021,64.53,12782
4/16/2021,64.45,12572
4/15/2021,64.64,14347
4/14/2021,64.54,24457
4/13/2021,61.97,15141
4/12/2021,61.48,21303
4/9/2021,61.11,13811
4/8/2021,61.23,21858
4/7/2021,61.57,32504
4/6/2021,61.29,16916
4/5/2021,60.67,15040
4/1/2021,62.9,31928
3/31/2021,61.05,30604
3/30/2021,62.16,15968
3/29/2021,62.92,20109
3/26/2021,62.62,21711
3/25/2021,60.34,29825
