Security,CO22 Comdty                                                     ,
Start Date,10/15/2004 0:00,
End Date,4/12/2023 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
4/12/2023,76.22,104
4/11/2023,75.15,551
4/10/2023,74.33,5
4/6/2023,74.77,21
4/5/2023,74.88,1205
4/4/2023,74.68,176
4/3/2023,74.78,225
3/31/2023,73.56,9
3/30/2023,72.89,37
3/29/2023,72.44,48
3/28/2023,72.85,103
3/27/2023,72.75,149
3/24/2023,70.59,8
3/23/2023,71,17
3/22/2023,71.32,9
3/21/2023,70.63,42
3/20/2023,70.15,216
3/17/2023,69.49,180
3/16/2023,70.03,127
3/15/2023,69.26,728
3/14/2023,71.35,100
3/13/2023,73.27,314
3/10/2023,74.29,13
3/9/2023,73.79,53
3/8/2023,74.53,86
3/7/2023,74.9,15
3/6/2023,76.8,48
3/3/2023,76.47,85
3/2/2023,75.44,78
3/1/2023,75.08,45
2/28/2023,74.83,387
2/27/2023,74.5,292
2/24/2023,75.37,637
2/23/2023,75.22,831
2/22/2023,74.59,111
2/21/2023,75.55,302
2/20/2023,76.32,81
2/17/2023,75.34,333
2/16/2023,76.73,4
2/15/2023,76.74,138
2/14/2023,76.73,329
2/13/2023,77.02,367
2/10/2023,76.55,690
2/9/2023,75.45,958
2/8/2023,76,1014
2/7/2023,75.16,283
2/6/2023,73.76,14
2/3/2023,73.02,664
2/2/2023,74.94,166
2/1/2023,75.04,288
1/31/2023,77.05,15930
1/30/2023,75.91,16411
1/27/2023,76.79,13922
1/26/2023,77.81,9923
1/25/2023,77.56,10205
1/24/2023,77.88,9499
1/23/2023,79.16,15394
1/20/2023,78.52,14119
1/19/2023,77.79,13782
1/18/2023,77.1,23292
1/17/2023,77.27,18375
1/16/2023,77.06,4067
1/13/2023,77.63,10340
1/12/2023,76.92,9106
1/11/2023,76.32,11399
1/10/2023,74.94,10760
1/9/2023,75.07,11766
1/6/2023,73.92,8374
1/5/2023,73.66,7726
1/4/2023,73.25,15624
1/3/2023,74.91,14831
1/2/2023,77.01,#N/A N/A
12/30/2022,77.01,6239
12/29/2022,75.94,2870
12/28/2022,76.95,149
12/27/2022,77.14,174
12/23/2022,76.93,93
12/22/2022,74.71,38
12/21/2022,75.47,81
12/20/2022,74.73,128
12/19/2022,74.21,76
12/16/2022,74.04,8
12/15/2022,74.79,217
12/14/2022,76.28,170
12/13/2022,75.53,121
12/12/2022,74.96,25
12/9/2022,73.89,499
12/8/2022,73.59,111
12/7/2022,74.24,207
12/6/2022,75.72,102
12/5/2022,77.74,11
12/2/2022,79.28,28
12/1/2022,79.32,18
11/30/2022,79.71,2
11/29/2022,77.91,9
11/28/2022,77.35,117
11/25/2022,76.85,1
11/24/2022,77.85,10
11/23/2022,77.51,12
11/22/2022,78.2,15
11/21/2022,78.08,25
11/18/2022,77.39,19
11/17/2022,77.76,65
11/16/2022,78.72,22
11/15/2022,80.05,26
11/14/2022,78.71,26
11/11/2022,79.48,28
11/10/2022,77.88,73
11/9/2022,77.92,15
11/8/2022,79.75,11
11/7/2022,81.09,10
11/4/2022,81.28,#N/A N/A
11/3/2022,79.12,2
11/2/2022,80.09,2
11/1/2022,78.65,11
10/31/2022,78.35,33
10/28/2022,78.48,43
10/27/2022,79.49,122
10/26/2022,78.78,51
10/25/2022,77.61,111
10/24/2022,76.62,102
10/21/2022,76.75,136
10/20/2022,76.73,75
10/19/2022,77.12,72
10/18/2022,76.27,33
10/17/2022,76.12,5
10/14/2022,75.52,1
10/13/2022,77.13,46
10/12/2022,75.97,10
10/11/2022,77.22,290
10/10/2022,78.46,4
10/7/2022,79.36,130
10/6/2022,77.87,857
10/5/2022,76.93,232
10/4/2022,75.33,835
10/3/2022,73.47,64
9/30/2022,71.83,57
