Security,CO5 Comdty                                                      ,
Start Date,4/11/2003 0:00,
End Date,4/12/2023 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
4/12/2023,84.58,42477
4/11/2023,83.27,29844
4/10/2023,82,15391
4/6/2023,82.73,22554
4/5/2023,82.77,37221
4/4/2023,82.69,43771
4/3/2023,82.69,63703
3/31/2023,79.11,57917
3/30/2023,77.89,55855
3/29/2023,76.91,66894
3/28/2023,77.42,72254
3/27/2023,77.2,66864
3/24/2023,74.1,69543
3/23/2023,74.92,57601
3/22/2023,75.71,65693
3/21/2023,74.43,73455
3/20/2023,73.11,96535
3/17/2023,72.27,99154
3/16/2023,73.56,88409
3/15/2023,72.57,165600
3/14/2023,76.09,69265
3/13/2023,79.13,84629
3/10/2023,80.92,56968
3/9/2023,79.91,48676
3/8/2023,81.01,50371
3/7/2023,81.63,44554
3/6/2023,84.23,37245
3/3/2023,83.81,50261
3/2/2023,82.59,41131
3/1/2023,82.18,31879
2/28/2023,81.84,28769
2/27/2023,80.65,25349
2/24/2023,81.44,26126
2/23/2023,80.72,40892
2/22/2023,79.44,41261
2/21/2023,81.5,24566
2/20/2023,82.46,18791
2/17/2023,81.36,23974
2/16/2023,83.35,22484
2/15/2023,83.57,27045
2/14/2023,83.85,34198
2/13/2023,84.61,24420
2/10/2023,84.28,43535
2/9/2023,82.53,31781
2/8/2023,83.17,29656
2/7/2023,81.97,30592
2/6/2023,79.53,33781
2/3/2023,78.58,40467
2/2/2023,80.96,35853
2/1/2023,81.32,38852
1/31/2023,84.31,42844
1/30/2023,83.2,44094
1/27/2023,85.04,38040
1/26/2023,86.17,30755
1/25/2023,85.3,41472
1/24/2023,85.45,39560
1/23/2023,87.14,33619
1/20/2023,86.65,31627
1/19/2023,85.42,41407
1/18/2023,84.5,60583
1/17/2023,85.04,38819
1/16/2023,83.67,22943
1/13/2023,84.57,37696
1/12/2023,83.24,47394
1/11/2023,82.08,53060
1/10/2023,79.83,37829
1/9/2023,79.59,28023
1/6/2023,78.42,33257
1/5/2023,78.43,37345
1/4/2023,77.67,41955
1/3/2023,81.23,34376
1/2/2023,84.2,#N/A N/A
12/30/2022,84.2,13217
12/29/2022,82.58,59031
12/28/2022,83.3,59602
12/27/2022,83.92,40422
12/23/2022,83.65,55590
12/22/2022,80.84,68057
12/21/2022,81.78,59539
12/20/2022,79.97,70041
12/19/2022,79.29,56909
12/16/2022,78.92,75522
12/15/2022,80.38,74312
12/14/2022,81.99,81781
12/13/2022,80.47,111787
12/12/2022,78.48,79831
12/9/2022,76.97,84008
12/8/2022,76.98,123737
12/7/2022,77.92,126099
12/6/2022,79.83,116668
12/5/2022,82.44,114248
12/2/2022,84.98,77085
12/1/2022,85.88,76873
11/30/2022,86.58,49405
11/29/2022,83.85,74760
11/28/2022,83.26,59794
11/25/2022,82.95,28682
11/24/2022,84.53,30038
11/23/2022,84.24,58352
11/22/2022,86.06,49557
11/21/2022,85.6,96159
11/18/2022,85.27,75344
11/17/2022,86.35,45562
11/16/2022,88.56,34805
11/15/2022,89.79,55904
11/14/2022,88.47,32473
11/11/2022,90.52,32503
11/10/2022,88.34,32442
11/9/2022,87.69,35783
11/8/2022,90.3,35439
11/7/2022,92.33,27774
11/4/2022,92.65,38579
11/3/2022,89.1,24227
11/2/2022,90.3,32734
11/1/2022,88.57,27573
10/31/2022,88.13,29225
10/28/2022,88.85,28235
10/27/2022,90.29,27356
10/26/2022,89.29,39379
10/25/2022,87.45,36933
10/24/2022,86.65,18518
10/21/2022,86.52,22121
10/20/2022,85.79,41519
10/19/2022,86.22,44277
10/18/2022,84.78,39226
10/17/2022,85.97,24585
10/14/2022,85.8,32633
10/13/2022,88.31,37571
10/12/2022,86.36,41774
10/11/2022,87.77,28391
10/10/2022,89.57,27048
10/7/2022,90.93,37261
10/6/2022,88.3,22697
10/5/2022,87.2,38980
10/4/2022,85.25,33993
10/3/2022,82.58,26043
9/30/2022,80.71,48554
9/29/2022,82.6,48279
9/28/2022,83.37,55999
9/27/2022,80.46,49939
9/26/2022,79.06,45459
9/23/2022,81.28,61065
9/22/2022,85.52,39094
9/21/2022,84.67,43993
9/20/2022,85.18,51162
9/19/2022,86.45,26857
9/16/2022,85.95,42855
9/15/2022,85.66,57341
9/14/2022,89.29,47416
9/13/2022,88.71,53367
9/12/2022,89.65,31543
9/9/2022,88.36,37727
9/8/2022,85.32,44314
9/7/2022,84.6,64108
9/6/2022,88.85,36366
9/5/2022,90.61,21403
9/2/2022,88.52,37818
9/1/2022,88.35,53796
8/31/2022,91.74,59915
8/30/2022,93.68,51692
8/29/2022,97.47,20738
8/26/2022,94.51,39006
8/25/2022,94.79,33124
8/24/2022,96.66,46127
8/23/2022,95.79,42541
8/22/2022,93.04,26881
8/19/2022,93.26,24585
8/18/2022,92.71,30162
8/17/2022,90.79,29901
8/16/2022,89.66,23289
8/15/2022,91.71,24198
8/12/2022,93.81,24343
8/11/2022,95.13,25864
8/10/2022,93.33,26641
8/9/2022,91.74,19391
8/8/2022,91.99,25147
8/5/2022,89.9,20978
8/4/2022,89.43,29624
8/3/2022,92.21,32134
8/2/2022,95.08,30518
8/1/2022,94.06,20800
7/29/2022,98.02,37769
7/28/2022,96.19,40211
7/27/2022,96.28,41966
7/26/2022,93.84,43413
7/25/2022,94.37,24959
7/22/2022,92.48,30590
7/21/2022,93.47,47413
7/20/2022,95.58,31562
7/19/2022,95.55,30428
7/18/2022,94.86,30927
7/15/2022,90.83,35340
7/14/2022,89.36,81325
7/13/2022,90.65,33105
7/12/2022,90.08,39585
7/11/2022,96.57,25857
7/8/2022,96.02,38142
7/7/2022,93.49,40549
7/6/2022,89.94,46456
7/5/2022,91.21,50169
7/4/2022,101.23,14438
7/1/2022,100.01,27048
6/30/2022,100.58,120965
6/29/2022,104.36,101565
6/28/2022,106.11,104594
6/27/2022,103.19,81429
6/24/2022,101.56,128566
6/23/2022,99.53,122055
6/22/2022,102.43,159990
6/21/2022,105.25,89210
6/20/2022,105.08,67818
6/17/2022,104.24,135472
6/16/2022,110.41,118530
6/15/2022,108.92,100906
6/14/2022,110.72,113214
6/13/2022,112.13,97400
6/10/2022,112.24,107352
6/9/2022,113.78,90998
6/8/2022,114.19,104167
6/7/2022,111.85,102526
6/6/2022,110.26,69517
6/3/2022,110.13,50590
6/2/2022,108.37,100263
6/1/2022,106.81,93226
5/31/2022,107.67,57506
5/30/2022,109.48,17063
5/27/2022,108.08,41504
5/26/2022,107.24,36932
5/25/2022,104.68,31575
5/24/2022,103.99,30798
5/23/2022,103.78,27499
5/20/2022,102.87,25285
5/19/2022,103.04,40198
5/18/2022,100.46,45753
5/17/2022,103.41,52616
5/16/2022,105.29,36943
5/13/2022,103.94,28963
5/12/2022,101.1,38536
5/11/2022,101.49,41576
5/10/2022,97.13,48144
5/9/2022,100.03,40678
5/6/2022,105.39,41993
5/5/2022,103.72,47336
5/4/2022,103.42,40481
5/3/2022,98.98,31555
5/2/2022,100.44,22525
4/29/2022,101.54,48010
4/28/2022,102.11,46106
4/27/2022,100.92,34036
4/26/2022,100.62,39562
4/25/2022,98.69,43079
4/22/2022,101.92,25746
4/21/2022,103.98,33105
4/20/2022,102.53,38138
4/19/2022,102.23,38177
4/18/2022,107,18702
4/14/2022,106.49,36431
4/13/2022,104.6,37899
4/12/2022,101.75,36706
4/11/2022,96.82,31024
4/8/2022,99.74,29971
4/7/2022,97.79,47118
4/6/2022,97.43,42191
4/5/2022,101.31,25103
4/4/2022,102.06,30322
4/1/2022,99.12,39991
3/31/2022,99.43,87529
3/30/2022,103.77,49455
3/29/2022,99.96,67850
3/28/2022,100.74,47112
3/25/2022,107.22,51569
3/24/2022,105.4,56174
3/23/2022,107.65,67137
3/22/2022,103.51,63131
3/21/2022,103.66,54072
3/18/2022,98.62,34675
3/17/2022,97.05,50583
3/16/2022,90.59,57111
3/15/2022,92.66,68896
3/14/2022,96.3,54185
3/11/2022,101.34,49600
3/10/2022,97.51,77299
3/9/2022,97.66,96871
3/8/2022,111.86,116173
3/7/2022,108.79,81157
3/4/2022,105.46,86697
3/3/2022,97.59,80240
3/2/2022,97.95,96670
3/1/2022,92.86,126879
2/28/2022,91.15,62461
2/25/2022,88.75,44665
2/24/2022,89.8,102642
2/23/2022,89.75,33200
2/22/2022,89.07,52568
2/21/2022,88.65,30100
2/18/2022,87.31,60991
2/17/2022,86.62,46690
2/16/2022,87.87,80880
2/15/2022,86.83,39816
2/14/2022,90.01,42632
2/11/2022,88.8,52307
2/10/2022,86.94,30288
2/9/2022,87.08,26604
2/8/2022,86.17,40169
2/7/2022,87.82,29540
2/4/2022,88,30179
2/3/2022,86.43,31500
2/2/2022,85,31127
2/1/2022,84.6,23625
1/31/2022,85.57,42053
1/28/2022,85,53938
1/27/2022,85.01,38132
1/26/2022,85.73,41734
1/25/2022,84.45,23665
1/24/2022,82.9,30019
1/21/2022,84.45,32932
1/20/2022,85.02,32247
1/19/2022,84.94,38765
1/18/2022,84.25,42366
1/17/2022,83.33,17611
1/14/2022,82.96,31016
1/13/2022,81.55,32320
1/12/2022,81.77,37543
1/11/2022,81.03,32139
1/10/2022,78.47,28039
1/7/2022,79.11,28488
1/6/2022,79.34,40821
1/5/2022,78.41,39997
1/4/2022,78.07,27536
1/3/2022,77.09,14977
12/31/2021,75.84,7209
12/30/2021,78.08,38100
12/29/2021,77.79,45504
12/28/2021,77.2,31489
12/27/2021,76.73,29070
12/24/2021,74.23,13003
12/23/2021,75.13,57773
12/22/2021,73.96,60021
12/21/2021,72.89,71137
12/20/2021,70.62,91900
12/17/2021,72.41,66301
12/16/2021,73.8,63919
12/15/2021,72.8,63621
12/14/2021,72.79,69746
12/13/2021,73.4,56453
12/10/2021,73.88,51070
12/9/2021,73.33,81286
12/8/2021,74.64,84547
12/7/2021,74.07,86242
12/6/2021,71.69,68025
12/3/2021,68.73,97786
12/2/2021,68.44,177245
12/1/2021,67.66,132343
11/30/2021,68.21,85321
11/29/2021,72.07,58141
11/26/2021,70.4,69198
11/25/2021,79.24,8706
11/24/2021,79.25,35851
11/23/2021,79.46,51831
