Security,CO23 Comdty                                                     ,
Start Date,12/17/2004 0:00,
End Date,4/12/2023 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
4/12/2023,75.87,11
4/11/2023,74.82,420
4/10/2023,74.03,1
4/6/2023,74.46,#N/A N/A
4/5/2023,74.57,863
4/4/2023,74.37,21
4/3/2023,74.47,5
3/31/2023,73.29,369
3/30/2023,72.65,8
3/29/2023,72.24,110
3/28/2023,72.64,107
3/27/2023,72.55,397
3/24/2023,70.46,258
3/23/2023,70.83,149
3/22/2023,71.13,1865
3/21/2023,70.47,190
3/20/2023,70.02,550
3/17/2023,69.37,864
3/16/2023,69.86,206
3/15/2023,69.09,306
3/14/2023,71.1,30
3/13/2023,72.94,134
3/10/2023,73.93,708
3/9/2023,73.46,10
3/8/2023,74.18,85
3/7/2023,74.53,401
3/6/2023,76.39,10
3/3/2023,76.08,561
3/2/2023,75.06,1120
3/1/2023,74.71,9
2/28/2023,74.47,25
2/27/2023,74.19,146
2/24/2023,75.05,468
2/23/2023,74.92,578
2/22/2023,74.33,51
2/21/2023,75.25,45
2/20/2023,76.01,47
2/17/2023,75.02,247
2/16/2023,76.38,5
2/15/2023,76.38,97
2/14/2023,76.36,89
2/13/2023,76.64,243
2/10/2023,76.17,#N/A N/A
2/9/2023,75.1,11
2/8/2023,75.64,69
2/7/2023,74.82,224
2/6/2023,73.45,14
2/3/2023,72.72,562
2/2/2023,74.61,75
2/1/2023,74.71,355
1/31/2023,76.66,2032
1/30/2023,75.53,177
1/27/2023,76.38,8
1/26/2023,77.37,61
1/25/2023,77.14,557
1/24/2023,77.46,83
1/23/2023,78.72,39
1/20/2023,78.09,40
1/19/2023,77.38,114
1/18/2023,76.69,175
1/17/2023,76.85,48
1/16/2023,76.69,167
1/13/2023,77.25,#N/A N/A
1/12/2023,76.56,253
1/11/2023,75.99,54
1/10/2023,74.64,141
1/9/2023,74.78,156
1/6/2023,73.64,117
1/5/2023,73.37,225
1/4/2023,72.98,144
1/3/2023,74.57,43
1/2/2023,76.64,#N/A N/A
12/30/2022,76.64,111
12/29/2022,75.61,8704
12/28/2022,76.63,6543
12/27/2022,76.79,4938
12/23/2022,76.57,9711
12/22/2022,74.42,6991
12/21/2022,75.17,8464
12/20/2022,74.46,6536
12/19/2022,73.94,5301
12/16/2022,73.78,9898
12/15/2022,74.49,8850
12/14/2022,75.96,9514
12/13/2022,75.25,8650
12/12/2022,74.75,8944
12/9/2022,73.7,13607
12/8/2022,73.39,13691
12/7/2022,74.04,12961
12/6/2022,75.5,13561
12/5/2022,77.49,10264
12/2/2022,79,8158
12/1/2022,79.02,10482
11/30/2022,79.44,#N/A N/A
11/29/2022,77.7,8
11/28/2022,77.15,162
11/25/2022,76.64,#N/A N/A
11/24/2022,77.61,13
11/23/2022,77.27,36
11/22/2022,77.93,16
11/21/2022,77.82,35
11/18/2022,77.13,425
11/17/2022,77.48,65
11/16/2022,78.39,7
11/15/2022,79.72,21
11/14/2022,78.38,71
11/11/2022,79.11,57
11/10/2022,77.53,121
11/9/2022,77.59,31
11/8/2022,79.37,21
11/7/2022,80.69,25
11/4/2022,80.86,104
11/3/2022,78.76,18
11/2/2022,79.71,10
11/1/2022,78.3,31
10/31/2022,78.06,7
10/28/2022,78.15,76
10/27/2022,79.15,45
10/26/2022,78.44,3
10/25/2022,77.3,71
10/24/2022,76.29,#N/A N/A
10/21/2022,76.45,22
10/20/2022,76.47,14
10/19/2022,76.84,26
10/18/2022,76,25
10/17/2022,75.82,2
10/14/2022,75.2,#N/A N/A
10/13/2022,76.77,19
10/12/2022,75.64,3
10/11/2022,76.89,31
10/10/2022,78.08,12
10/7/2022,78.95,87
10/6/2022,77.51,45
10/5/2022,76.58,17
10/4/2022,75.01,324
10/3/2022,73.21,3
9/30/2022,71.54,107
9/29/2022,72.95,295
9/28/2022,73.93,67
9/27/2022,71.96,39
9/26/2022,71.32,117
9/23/2022,72.53,221
9/22/2022,75.21,65
9/21/2022,74.66,94
9/20/2022,75.15,226
9/19/2022,76.81,4
9/16/2022,76.76,305
9/15/2022,76.82,26
9/14/2022,79.46,36
9/13/2022,79.18,857
9/12/2022,79.33,92
9/9/2022,78.2,218
9/8/2022,75.79,207
9/7/2022,75.57,407
9/6/2022,78.38,127
9/5/2022,78.46,137
9/2/2022,78.35,84
9/1/2022,78.35,183
8/31/2022,80.94,#N/A N/A
8/30/2022,81.48,#N/A N/A
8/29/2022,83.76,5
8/26/2022,82.68,1
8/25/2022,82.82,975
8/24/2022,84.06,2
8/23/2022,84.13,21
8/22/2022,82.92,37
8/19/2022,82.98,80
8/18/2022,82.77,59
8/17/2022,82.55,119
8/16/2022,82.16,#N/A N/A
8/15/2022,83.24,4
