Security,CO15 Comdty                                                     ,
Start Date,8/15/2003 0:00,
End Date,4/12/2023 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
4/12/2023,79.12,111
4/11/2023,77.91,286
4/10/2023,76.92,174
4/6/2023,77.43,132
4/5/2023,77.56,1520
4/4/2023,77.46,269
4/3/2023,77.55,240
3/31/2023,75.5,51
3/30/2023,74.63,176
3/29/2023,73.96,470
3/28/2023,74.44,1265
3/27/2023,74.29,1912
3/24/2023,71.71,1459
3/23/2023,72.29,66
3/22/2023,72.76,410
3/21/2023,71.87,1224
3/20/2023,71.13,703
3/17/2023,70.4,258
3/16/2023,71.27,1044
3/15/2023,70.4,690
3/14/2023,73.09,1009
3/13/2023,75.53,748
3/10/2023,76.81,128
3/9/2023,76.11,72
3/8/2023,77,320
3/7/2023,77.5,106
3/6/2023,79.67,807
3/3/2023,79.27,193
3/2/2023,78.17,158
3/1/2023,77.75,68
2/28/2023,77.43,10735
2/27/2023,76.78,8039
2/24/2023,77.64,11694
2/23/2023,77.25,15238
2/22/2023,76.36,13759
2/21/2023,77.71,8583
2/20/2023,78.55,2865
2/17/2023,77.54,15062
2/16/2023,79.12,9364
2/15/2023,79.21,9168
2/14/2023,79.34,9100
2/13/2023,79.77,5719
2/10/2023,79.33,16964
2/9/2023,78,11175
2/8/2023,78.56,9870
2/7/2023,77.63,14540
2/6/2023,75.88,15337
2/3/2023,75.02,12552
2/2/2023,77.15,15727
2/1/2023,77.27,10829
1/31/2023,79.54,228
1/30/2023,78.35,53
1/27/2023,79.6,348
1/26/2023,80.83,233
1/25/2023,80.38,101
1/24/2023,80.66,837
1/23/2023,82.08,156
1/20/2023,81.47,91
1/19/2023,80.54,323
1/18/2023,79.78,277
1/17/2023,80.06,478
1/16/2023,79.42,82
1/13/2023,80.06,672
1/12/2023,79.2,178
1/11/2023,78.37,1240
1/10/2023,76.69,677
1/9/2023,76.77,604
1/6/2023,75.61,207
1/5/2023,75.38,341
1/4/2023,74.85,145
1/3/2023,77.1,827
1/2/2023,79.48,#N/A N/A
12/30/2022,79.48,437
