Security,CO17 Comdty                                                     ,
Start Date,12/17/2003 0:00,
End Date,4/12/2023 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
4/12/2023,78.28,149
4/11/2023,77.11,105
4/10/2023,76.17,28
4/6/2023,76.66,80
4/5/2023,76.78,1531
4/4/2023,76.65,364
4/3/2023,76.74,103
3/31/2023,74.93,156
3/30/2023,74.12,624
3/29/2023,73.51,802
3/28/2023,73.97,622
3/27/2023,73.83,883
3/24/2023,71.36,845
3/23/2023,71.9,1157
3/22/2023,72.33,1962
3/21/2023,71.5,3445
3/20/2023,70.84,987
3/17/2023,70.14,2652
3/16/2023,70.91,1631
3/15/2023,70.09,2876
3/14/2023,72.6,1534
3/13/2023,74.88,1838
3/10/2023,76.08,1373
3/9/2023,75.43,272
3/8/2023,76.28,386
3/7/2023,76.75,567
3/6/2023,78.84,428
3/3/2023,78.46,290
3/2/2023,77.38,957
3/1/2023,76.98,1671
2/28/2023,76.67,74
2/27/2023,76.12,148
2/24/2023,76.99,257
2/23/2023,76.67,320
2/22/2023,75.85,147
2/21/2023,77.08,143
2/20/2023,77.9,138
2/17/2023,76.9,320
2/16/2023,78.42,78
2/15/2023,78.49,993
2/14/2023,78.58,154
2/13/2023,78.97,302
2/10/2023,78.52,373
2/9/2023,77.27,136
2/8/2023,77.83,210
2/7/2023,76.93,604
2/6/2023,75.28,283
2/3/2023,74.46,74
2/2/2023,76.52,152
2/1/2023,76.63,161
1/31/2023,78.8,150
1/30/2023,77.61,56
1/27/2023,78.75,365
1/26/2023,79.92,135
1/25/2023,79.54,76
1/24/2023,79.83,605
1/23/2023,81.22,79
1/20/2023,80.6,230
1/19/2023,79.72,145
1/18/2023,78.99,280
1/17/2023,79.23,129
1/16/2023,78.71,111
1/13/2023,79.33,404
1/12/2023,78.5,127
1/11/2023,77.74,191
1/10/2023,76.15,278
1/9/2023,76.26,7
1/6/2023,75.09,46
1/5/2023,74.84,179
1/4/2023,74.36,26
1/3/2023,76.41,172
1/2/2023,78.7,#N/A N/A
12/30/2022,78.7,160
12/29/2022,77.5,5930
12/28/2022,78.46,6028
12/27/2022,78.81,5687
12/23/2022,78.58,10508
12/22/2022,76.11,4846
12/21/2022,76.94,4269
12/20/2022,75.98,4982
12/19/2022,75.43,3760
12/16/2022,75.24,6756
12/15/2022,76.16,5112
12/14/2022,77.72,5889
12/13/2022,76.75,7375
12/12/2022,75.88,6043
12/9/2022,74.71,6857
12/8/2022,74.53,11835
12/7/2022,75.17,12243
12/6/2022,76.77,9515
12/5/2022,78.97,8495
12/2/2022,80.71,6702
12/1/2022,80.88,6129
11/30/2022,81.43,#N/A N/A
11/29/2022,79.33,14
11/28/2022,78.72,205
11/25/2022,78.2,12
11/24/2022,79.33,25
11/23/2022,79,63
11/22/2022,79.85,32
11/21/2022,79.64,80
11/18/2022,78.96,91
11/17/2022,79.46,257
11/16/2022,80.68,51
11/15/2022,82.04,16
11/14/2022,80.68,14
11/11/2022,81.69,89
11/10/2022,80.02,13
11/9/2022,79.94,15
11/8/2022,81.98,55
11/7/2022,83.44,41
11/4/2022,83.7,10
11/3/2022,81.24,13
11/2/2022,82.31,128
11/1/2022,80.71,14
10/31/2022,80.35,24
10/28/2022,80.67,475
10/27/2022,81.76,262
10/26/2022,81.01,116
10/25/2022,79.69,70
10/24/2022,78.75,1
10/21/2022,78.74,100
10/20/2022,78.56,60
10/19/2022,79.06,77
10/18/2022,78.16,395
10/17/2022,78.23,124
10/14/2022,77.69,90
10/13/2022,79.52,104
10/12/2022,78.11,198
10/11/2022,79.38,99
10/10/2022,80.91,61
10/7/2022,81.94,876
10/6/2022,80.18,1665
10/5/2022,79.18,563
10/4/2022,77.42,988
10/3/2022,75.3,25
9/30/2022,73.47,403
9/29/2022,75,426
9/28/2022,75.98,818
9/27/2022,73.79,930
9/26/2022,73.09,887
9/23/2022,74.68,587
9/22/2022,77.78,414
9/21/2022,77.16,409
9/20/2022,77.68,156
9/19/2022,79.2,295
9/16/2022,79.02,791
9/15/2022,79.05,606
9/14/2022,81.97,518
9/13/2022,81.66,2441
9/12/2022,82.04,197
9/9/2022,80.9,541
9/8/2022,78.3,86
9/7/2022,77.97,1267
9/6/2022,81.15,501
9/5/2022,81.67,362
9/2/2022,81.04,482
9/1/2022,81.04,355
8/31/2022,83.73,1074
8/30/2022,84.52,514
8/29/2022,87.17,248
8/26/2022,85.68,126
8/25/2022,85.88,635
8/24/2022,87.42,1421
8/23/2022,87.33,578
8/22/2022,85.74,163
8/19/2022,85.83,419
8/18/2022,85.37,370
8/17/2022,84.69,423
8/16/2022,84.1,526
8/15/2022,85.38,186
8/12/2022,86.73,1308
8/11/2022,87.53,622
8/10/2022,86.56,545
8/9/2022,85.12,121
8/8/2022,85.42,465
8/5/2022,83.4,371
8/4/2022,83.21,644
8/3/2022,85.78,247
8/2/2022,87.44,513
8/1/2022,86.18,475
7/29/2022,88.77,245
7/28/2022,87.31,307
7/27/2022,87.89,207
7/26/2022,85.94,454
7/25/2022,85.98,480
7/22/2022,84.27,1308
7/21/2022,84.99,419
7/20/2022,86.44,242
7/19/2022,86.44,1142
7/18/2022,86.07,312
7/15/2022,82.89,393
7/14/2022,81.74,959
7/13/2022,83.33,168
7/12/2022,82.74,603
7/11/2022,87.18,184
7/8/2022,85.84,191
7/7/2022,84.16,719
7/6/2022,81.89,1427
7/5/2022,82.15,439
7/4/2022,89.91,104
7/1/2022,88.58,389
6/30/2022,88.76,24127
6/29/2022,92.07,24794
6/28/2022,93.42,21752
6/27/2022,90.93,21387
6/24/2022,89.55,39886
