Security,CO11 Comdty                                                     ,
Start Date,4/11/2003 0:00,
End Date,4/12/2023 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
4/12/2023,81.01,1359
4/11/2023,79.78,1212
4/10/2023,78.67,301
4/6/2023,79.27,1524
4/5/2023,79.39,5161
4/4/2023,79.3,970
4/3/2023,79.39,2716
3/31/2023,76.81,9249
3/30/2023,75.79,5920
3/29/2023,75,7247
3/28/2023,75.48,8452
3/27/2023,75.3,4851
3/24/2023,72.5,6204
3/23/2023,73.19,4725
3/22/2023,73.75,5964
3/21/2023,72.69,6485
3/20/2023,71.77,8987
3/17/2023,70.97,11298
3/16/2023,72.01,13160
3/15/2023,71.11,20585
3/14/2023,74.13,7288
3/13/2023,76.81,7921
3/10/2023,78.28,4004
3/9/2023,77.45,4097
3/8/2023,78.45,3190
3/7/2023,79,4448
3/6/2023,81.33,3405
3/3/2023,80.92,2946
3/2/2023,79.79,5962
3/1/2023,79.34,3752
2/28/2023,79.02,1885
2/27/2023,78.15,957
2/24/2023,78.99,2411
2/23/2023,78.45,1864
2/22/2023,77.41,4300
2/21/2023,79.05,1875
2/20/2023,79.94,1817
2/17/2023,78.92,3851
2/16/2023,80.64,2010
2/15/2023,80.77,3488
2/14/2023,80.99,2050
2/13/2023,81.5,1990
2/10/2023,81.12,4563
2/9/2023,79.61,1518
2/8/2023,80.21,2067
2/7/2023,79.19,3151
2/6/2023,77.17,8227
2/3/2023,76.24,5704
2/2/2023,78.48,4290
2/1/2023,78.65,5189
1/31/2023,81.27,3722
1/30/2023,80.07,4177
1/27/2023,81.58,7288
1/26/2023,82.86,1479
1/25/2023,82.27,1616
1/24/2023,82.53,2805
1/23/2023,84.03,2247
1/20/2023,83.48,941
1/19/2023,82.42,2999
1/18/2023,81.58,3433
1/17/2023,81.97,3471
1/16/2023,81.06,1606
1/13/2023,81.77,2297
1/12/2023,80.75,2792
1/11/2023,79.77,2998
1/10/2023,77.92,6237
1/9/2023,77.91,5121
1/6/2023,76.74,2092
1/5/2023,76.58,2469
1/4/2023,75.95,2977
1/3/2023,78.62,1213
1/2/2023,81.19,#N/A N/A
12/30/2022,81.19,551
12/29/2022,79.81,26904
12/28/2022,80.68,28869
12/27/2022,81.23,19574
12/23/2022,80.96,33567
12/22/2022,78.32,31957
12/21/2022,79.22,27268
12/20/2022,77.91,32441
12/19/2022,77.29,24919
12/16/2022,77.06,41249
12/15/2022,78.21,36042
12/14/2022,79.83,42784
12/13/2022,78.58,52574
12/12/2022,77.23,43772
12/9/2022,75.89,55275
12/8/2022,75.88,78872
12/7/2022,76.64,71255
12/6/2022,78.36,74212
12/5/2022,80.82,66886
12/2/2022,82.87,43752
12/1/2022,83.3,39310
11/30/2022,83.97,3314
11/29/2022,81.49,4927
11/28/2022,80.87,2358
11/25/2022,80.41,3441
11/24/2022,81.74,1522
11/23/2022,81.41,5784
11/22/2022,82.56,2672
11/21/2022,82.24,4005
11/18/2022,81.64,4515
11/17/2022,82.32,1576
11/16/2022,83.95,862
11/15/2022,85.3,3650
11/14/2022,83.9,1037
11/11/2022,85.3,1179
11/10/2022,83.43,970
11/9/2022,83.11,1389
11/8/2022,85.43,1399
11/7/2022,87.08,973
11/4/2022,87.35,3131
11/3/2022,84.44,1765
11/2/2022,85.56,2677
11/1/2022,83.88,6310
10/31/2022,83.26,2224
10/28/2022,83.81,2093
10/27/2022,85.08,1969
10/26/2022,84.27,2844
10/25/2022,82.78,1534
10/24/2022,81.89,1751
10/21/2022,81.73,1975
10/20/2022,81.28,3585
10/19/2022,81.86,7552
10/18/2022,80.81,2383
10/17/2022,81.27,883
10/14/2022,80.86,1621
10/13/2022,82.97,1928
10/12/2022,81.29,1763
10/11/2022,82.62,2377
10/10/2022,84.43,1054
10/7/2022,85.64,2074
10/6/2022,83.49,2218
10/5/2022,82.42,2243
10/4/2022,80.54,1001
10/3/2022,78.15,1587
9/30/2022,76.18,4850
9/29/2022,77.8,4367
9/28/2022,78.67,9792
9/27/2022,76.28,4872
9/26/2022,75.4,5324
9/23/2022,77.35,10782
9/22/2022,80.98,6396
9/21/2022,80.23,6701
9/20/2022,80.77,4849
9/19/2022,82.1,3389
9/16/2022,81.73,7563
9/15/2022,81.71,6517
9/14/2022,85.02,8671
9/13/2022,84.59,9173
9/12/2022,85.3,5358
9/9/2022,84.14,6127
9/8/2022,81.38,5013
9/7/2022,80.87,9553
9/6/2022,84.65,5058
9/5/2022,85.67,4848
9/2/2022,84.4,5254
9/1/2022,84.31,12572
8/31/2022,87.25,2779
8/30/2022,88.28,4033
8/29/2022,91.31,1061
8/26/2022,89.28,2234
8/25/2022,89.57,4647
8/24/2022,91.39,4902
8/23/2022,91.07,3908
8/22/2022,88.99,2003
8/19/2022,89.17,1686
8/18/2022,88.58,1313
8/17/2022,87.35,1636
8/16/2022,86.57,2358
8/15/2022,88.18,1250
8/12/2022,89.83,1759
8/11/2022,90.95,4215
8/10/2022,89.61,3290
8/9/2022,88.08,2285
8/8/2022,88.35,1950
8/5/2022,86.26,1284
8/4/2022,85.94,3245
8/3/2022,88.62,2842
8/2/2022,90.84,5524
8/1/2022,89.65,1690
7/29/2022,92.54,2758
7/28/2022,90.93,1783
7/27/2022,91.33,3884
7/26/2022,89.09,4306
7/25/2022,89.33,2698
7/22/2022,87.45,2580
7/21/2022,88.35,4366
7/20/2022,89.96,2162
7/19/2022,89.82,1662
7/18/2022,89.35,6481
7/15/2022,85.85,1905
7/14/2022,84.7,3571
7/13/2022,86.16,2205
7/12/2022,85.54,2676
7/11/2022,90.77,1238
7/8/2022,89.7,3004
7/7/2022,87.55,2535
7/6/2022,84.73,3139
7/5/2022,85.33,2942
7/4/2022,94.23,913
7/1/2022,92.97,1355
6/30/2022,92.83,22780
6/29/2022,96.37,26093
6/28/2022,97.98,25755
6/27/2022,95.37,20326
6/24/2022,93.98,32686
6/23/2022,92.2,25442
6/22/2022,95.4,39547
6/21/2022,97.57,19739
6/20/2022,97.81,14628
6/17/2022,97.02,39619
6/16/2022,101.94,29751
6/15/2022,100.76,19359
6/14/2022,102.16,19848
6/13/2022,103.6,24039
6/10/2022,103.47,27392
6/9/2022,104.75,32120
6/8/2022,104.47,16512
6/7/2022,102.41,19765
6/6/2022,100.56,12545
6/3/2022,100.54,9565
6/2/2022,99.26,19317
6/1/2022,97.82,23666
5/31/2022,98.08,2316
5/30/2022,99.61,480
5/27/2022,98.75,1105
5/26/2022,98.16,1971
5/25/2022,96.41,3676
5/24/2022,95.79,759
5/23/2022,95.39,658
5/20/2022,94.4,941
5/19/2022,94.72,1226
5/18/2022,92.72,677
5/17/2022,95.06,1930
5/16/2022,96.39,1438
5/13/2022,95.76,1787
5/12/2022,93.86,1973
5/11/2022,94.42,2696
5/10/2022,90.49,1205
5/9/2022,92.39,1907
5/6/2022,96.44,1107
5/5/2022,95.3,2229
5/4/2022,95.1,1413
5/3/2022,91.65,1152
5/2/2022,92.53,735
4/29/2022,92.81,2415
4/28/2022,93.57,2225
4/27/2022,93.07,978
4/26/2022,92.92,972
4/25/2022,91.81,1052
4/22/2022,94.11,645
4/21/2022,96.3,1035
4/20/2022,94.94,1670
4/19/2022,94.31,2485
4/18/2022,98.64,649
4/14/2022,98.68,963
4/13/2022,98.03,1652
4/12/2022,95.86,894
4/11/2022,92.64,540
4/8/2022,94.58,1578
4/7/2022,93.18,1984
4/6/2022,92.58,911
4/5/2022,95.34,626
4/4/2022,96.18,1234
4/1/2022,93.67,1473
3/31/2022,92.53,19219
3/30/2022,94.57,4556
3/29/2022,91.64,8580
3/28/2022,91.56,6226
3/25/2022,96.09,8832
3/24/2022,94.78,7896
3/23/2022,96.83,9179
3/22/2022,94.33,9070
3/21/2022,94.65,8402
3/18/2022,91.2,4414
3/17/2022,90.08,5583
3/16/2022,85.15,5467
3/15/2022,86.96,6681
3/14/2022,88.85,7719
3/11/2022,92.48,6495
3/10/2022,89.13,11542
3/9/2022,88.49,15190
3/8/2022,99.39,19081
3/7/2022,99.04,10976
3/4/2022,97.25,8563
3/3/2022,90.51,7892
3/2/2022,90.16,12605
3/1/2022,86.27,19132
2/28/2022,85.21,3958
2/25/2022,83.85,3217
2/24/2022,84.83,7199
2/23/2022,85.28,2218
2/22/2022,84.49,2135
2/21/2022,84.2,2334
2/18/2022,83,1910
2/17/2022,82.32,2550
2/16/2022,83.12,3811
2/15/2022,82.21,3006
2/14/2022,84.92,3075
2/11/2022,84.14,3923
2/10/2022,82.77,3057
2/9/2022,82.83,3042
2/8/2022,81.82,2472
2/7/2022,83.16,1509
2/4/2022,83.06,3238
2/3/2022,81.93,2124
2/2/2022,80.7,5668
2/1/2022,80.28,4782
1/31/2022,80.96,3004
1/28/2022,80.44,5513
1/27/2022,80.53,3928
1/26/2022,81.23,3240
1/25/2022,80.31,3536
1/24/2022,79.03,2127
1/21/2022,80.35,1347
1/20/2022,80.89,2860
1/19/2022,80.55,2508
1/18/2022,80.04,2923
1/17/2022,79.23,1244
1/14/2022,78.86,3961
1/13/2022,77.73,2416
1/12/2022,77.88,3420
1/11/2022,77.34,1533
1/10/2022,75.22,1058
1/7/2022,75.77,973
1/6/2022,75.94,2809
1/5/2022,75.25,2766
1/4/2022,75.11,4254
1/3/2022,74.12,893
12/31/2021,72.88,645
12/30/2021,74.96,16460
12/29/2021,74.63,23941
12/28/2021,74.02,21313
12/27/2021,73.61,20867
12/24/2021,71.03,4814
12/23/2021,72.18,29902
12/22/2021,71.16,41605
12/21/2021,70.5,36633
12/20/2021,68.49,61411
12/17/2021,70.02,42212
12/16/2021,71.4,44800
12/15/2021,70.74,46410
12/14/2021,70.94,42790
12/13/2021,71.46,38016
12/10/2021,71.84,33757
12/9/2021,71.48,57006
12/8/2021,72.62,59274
12/7/2021,71.93,70864
12/6/2021,69.78,55865
12/3/2021,67.2,71992
12/2/2021,66.78,124813
12/1/2021,65.99,92438
11/30/2021,66.22,8590
11/29/2021,69.77,7505
11/26/2021,68.02,5063
11/25/2021,76.14,687
11/24/2021,76,3843
11/23/2021,76.25,4182
11/22/2021,74.19,3612
11/19/2021,73.14,3154
