Security,CO4 Comdty                                                      ,
Start Date,4/11/2003 0:00,
End Date,4/12/2023 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
4/12/2023,85.26,86761
4/11/2023,83.91,66394
4/10/2023,82.61,34081
4/6/2023,83.39,55552
4/5/2023,83.42,64434
4/4/2023,83.34,84581
4/3/2023,83.34,142050
3/31/2023,79.45,72697
3/30/2023,78.21,57257
3/29/2023,77.21,79382
3/28/2023,77.74,71127
3/27/2023,77.49,66594
3/24/2023,74.35,71173
3/23/2023,75.2,64291
3/22/2023,76.02,70061
3/21/2023,74.71,77876
3/20/2023,73.33,87767
3/17/2023,72.5,96927
3/16/2023,73.82,67246
3/15/2023,72.81,137050
3/14/2023,76.4,66055
3/13/2023,79.5,69928
3/10/2023,81.34,48954
3/9/2023,80.31,47991
3/8/2023,81.42,57705
3/7/2023,82.03,43695
3/6/2023,84.69,41913
3/3/2023,84.29,46462
3/2/2023,83.07,38020
3/1/2023,82.67,29906
2/28/2023,82.33,56847
2/27/2023,81.08,43547
2/24/2023,81.87,55042
2/23/2023,81.11,75394
2/22/2023,79.78,81042
2/21/2023,81.9,47375
2/20/2023,82.88,27914
2/17/2023,81.77,55983
2/16/2023,83.81,40778
2/15/2023,84.04,56645
2/14/2023,84.33,48960
2/13/2023,85.13,45355
2/10/2023,84.82,80186
2/9/2023,83.03,55591
2/8/2023,83.67,53053
2/7/2023,82.44,44257
2/6/2023,79.91,55546
2/3/2023,78.97,63170
2/2/2023,81.36,66803
2/1/2023,81.75,68205
1/31/2023,84.75,129797
1/30/2023,83.68,133413
1/27/2023,85.56,124064
1/26/2023,86.65,108278
1/25/2023,85.7,106422
1/24/2023,85.83,114021
1/23/2023,87.59,115464
1/20/2023,87.12,104742
1/19/2023,85.85,128525
1/18/2023,84.89,180815
1/17/2023,85.49,113281
1/16/2023,84.08,60713
1/13/2023,84.98,106121
1/12/2023,83.62,151638
1/11/2023,82.43,144842
1/10/2023,80.08,109348
1/9/2023,79.78,99430
1/6/2023,78.62,97239
1/5/2023,78.66,107326
1/4/2023,77.88,138601
1/3/2023,81.63,116971
1/2/2023,84.76,#N/A N/A
12/30/2022,84.76,50737
12/29/2022,83.01,49210
12/28/2022,83.68,49962
12/27/2022,84.33,36635
12/23/2022,84.06,42625
12/22/2022,81.19,63567
12/21/2022,82.14,53752
12/20/2022,80.25,45477
12/19/2022,79.6,40388
12/16/2022,79.16,70505
12/15/2022,80.7,56278
12/14/2022,82.27,61829
12/13/2022,80.68,86925
12/12/2022,78.55,51112
12/9/2022,77,53618
12/8/2022,77,74358
12/7/2022,77.97,91835
12/6/2022,79.91,70020
12/5/2022,82.59,66364
12/2/2022,85.27,53351
12/1/2022,86.3,51071
11/30/2022,86.83,61166
11/29/2022,84.09,106230
11/28/2022,83.56,91401
11/25/2022,83.27,46854
11/24/2022,84.86,43602
11/23/2022,84.62,84191
11/22/2022,86.66,87479
11/21/2022,86.16,132192
11/18/2022,85.93,125658
11/17/2022,87.17,67642
11/16/2022,89.53,48998
11/15/2022,90.73,93501
11/14/2022,89.47,50697
11/11/2022,91.68,48987
11/10/2022,89.46,52054
11/9/2022,88.74,44767
11/8/2022,91.41,46697
11/7/2022,93.53,36530
11/4/2022,93.9,49572
11/3/2022,90.24,40739
11/2/2022,91.48,41751
11/1/2022,89.77,39011
10/31/2022,89.47,71382
10/28/2022,90.24,67793
10/27/2022,91.67,71438
10/26/2022,90.61,81702
10/25/2022,88.68,65979
10/24/2022,87.93,38258
10/21/2022,87.86,54086
10/20/2022,87.07,95464
10/19/2022,87.42,97380
10/18/2022,85.85,98578
10/17/2022,87.19,66092
10/14/2022,87.07,64484
10/13/2022,89.68,92704
10/12/2022,87.67,68920
10/11/2022,89.13,63700
10/10/2022,90.91,50904
10/7/2022,92.3,76380
10/6/2022,89.54,54500
10/5/2022,88.44,88657
10/4/2022,86.51,73049
10/3/2022,83.8,60123
9/30/2022,81.99,81952
9/29/2022,83.91,77001
9/28/2022,84.69,71268
9/27/2022,81.64,60590
9/26/2022,80.08,56835
9/23/2022,82.36,70892
9/22/2022,86.73,56361
9/21/2022,85.9,64066
9/20/2022,86.42,70676
9/19/2022,87.66,35263
9/16/2022,87.13,55646
9/15/2022,86.79,79837
9/14/2022,90.4,59500
9/13/2022,89.71,73018
9/12/2022,90.61,42309
9/9/2022,89.33,49959
9/8/2022,86.24,51529
9/7/2022,85.43,73839
9/6/2022,89.84,48432
9/5/2022,91.77,30356
9/2/2022,89.52,42713
9/1/2022,89.28,56590
8/31/2022,92.93,109719
8/30/2022,95.06,96992
8/29/2022,99.11,47494
8/26/2022,95.87,72277
8/25/2022,96.02,67602
8/24/2022,97.88,78511
8/23/2022,96.87,65563
8/22/2022,93.94,55326
8/19/2022,94.16,56959
8/18/2022,93.64,61457
8/17/2022,91.54,62399
8/16/2022,90.34,54135
8/15/2022,92.5,51600
8/12/2022,94.72,40300
8/11/2022,96.06,49696
8/10/2022,94.16,52809
8/9/2022,92.57,42313
8/8/2022,92.82,36409
8/5/2022,90.77,35966
8/4/2022,90.24,54413
8/3/2022,93.03,53479
8/2/2022,96.06,48088
8/1/2022,95.14,40976
7/29/2022,99.62,136669
7/28/2022,97.74,139748
7/27/2022,97.75,135467
7/26/2022,95.34,116006
7/25/2022,95.92,97986
7/22/2022,94.04,117135
7/21/2022,95.05,143740
7/20/2022,97.36,123524
7/19/2022,97.48,106362
7/18/2022,96.7,101459
7/15/2022,92.51,116653
7/14/2022,90.93,186286
7/13/2022,92.18,130253
7/12/2022,91.69,128164
7/11/2022,98.52,84303
7/8/2022,98.09,114920
7/7/2022,95.54,143806
7/6/2022,91.82,182304
7/5/2022,93.3,210458
7/4/2022,103.5,50010
7/1/2022,102.16,110441
6/30/2022,102.82,87429
6/29/2022,106.6,69121
6/28/2022,108.27,63203
6/27/2022,105.32,54038
6/24/2022,103.61,78058
6/23/2022,101.42,72235
6/22/2022,104.16,77188
6/21/2022,107.09,53210
6/20/2022,106.82,38441
6/17/2022,105.95,64063
6/16/2022,112.29,69184
6/15/2022,110.76,51727
6/14/2022,112.67,67251
6/13/2022,114.09,44484
6/10/2022,114.17,54859
6/9/2022,115.7,39198
6/8/2022,116.18,56486
6/7/2022,113.74,53338
6/6/2022,112.25,36419
6/3/2022,112.16,24314
6/2/2022,110.35,51160
6/1/2022,108.82,48151
5/31/2022,109.93,95530
5/30/2022,111.79,33929
5/27/2022,110.21,68000
5/26/2022,109.22,51933
5/25/2022,106.52,48047
5/24/2022,105.88,48875
5/23/2022,105.75,45783
5/20/2022,104.9,44788
5/19/2022,105.01,70027
5/18/2022,102.33,70231
5/17/2022,105.33,74823
5/16/2022,107.36,58545
5/13/2022,105.74,49101
5/12/2022,102.6,55596
5/11/2022,102.92,61741
5/10/2022,98.42,73870
5/9/2022,101.49,58912
5/6/2022,107.16,58787
5/5/2022,105.46,65652
5/4/2022,105.14,47588
5/3/2022,100.54,38375
5/2/2022,102.19,32562
4/29/2022,103.48,88364
4/28/2022,103.96,94971
4/27/2022,102.47,77019
4/26/2022,102.16,87845
4/25/2022,100.03,98365
4/22/2022,103.44,57832
4/21/2022,105.42,65995
4/20/2022,103.91,82504
4/19/2022,103.73,84068
4/18/2022,108.64,38938
4/14/2022,107.98,58302
4/13/2022,105.81,69897
4/12/2022,102.71,70493
4/11/2022,97.4,62271
4/8/2022,100.58,52433
4/7/2022,98.62,83401
4/6/2022,98.38,81388
4/5/2022,102.51,48767
4/4/2022,103.26,57012
4/1/2022,100.24,71466
3/31/2022,100.98,101021
3/30/2022,106.07,58274
3/29/2022,102.14,75809
3/28/2022,103.23,61080
3/25/2022,110.19,57904
3/24/2022,108.21,68954
3/23/2022,110.49,74146
3/22/2022,105.78,72694
3/21/2022,105.9,63724
3/18/2022,100.43,37747
3/17/2022,98.83,54431
3/16/2022,91.98,60837
3/15/2022,94,78888
3/14/2022,98.21,57446
3/11/2022,103.59,51301
3/10/2022,99.69,83092
3/9/2022,100.32,99408
3/8/2022,115.46,110199
3/7/2022,111.7,71560
3/4/2022,107.91,68291
3/3/2022,100.02,102580
3/2/2022,100.72,83208
3/1/2022,95.21,112257
2/28/2022,92.9,106800
2/25/2022,90.08,87081
2/24/2022,91.15,188315
2/23/2022,90.81,64970
2/22/2022,90.22,82698
2/21/2022,89.74,41187
2/18/2022,88.35,89140
2/17/2022,87.69,64840
2/16/2022,89.07,114746
2/15/2022,87.89,74278
2/14/2022,91.15,68777
2/11/2022,89.81,95197
2/10/2022,87.79,62895
2/9/2022,87.94,47978
2/8/2022,87.06,64264
2/7/2022,88.75,53021
2/4/2022,89.02,46365
2/3/2022,87.35,56062
2/2/2022,85.87,50212
2/1/2022,85.48,40476
1/31/2022,86.64,107813
1/28/2022,86.03,180710
1/27/2022,85.98,140934
1/26/2022,86.66,150551
1/25/2022,85.32,100969
1/24/2022,83.71,115448
1/21/2022,85.3,122147
1/20/2022,85.86,102245
1/19/2022,85.8,122772
1/18/2022,85.08,118825
1/17/2022,84.14,52792
1/14/2022,83.76,107294
1/13/2022,82.29,100068
1/12/2022,82.51,114009
1/11/2022,81.74,89932
1/10/2022,79.1,99739
1/7/2022,79.76,99634
1/6/2022,79.99,129220
1/5/2022,79.01,112652
1/4/2022,78.59,90389
1/3/2022,77.62,44253
12/31/2021,76.39,34771
12/30/2021,78.61,38741
12/29/2021,78.32,36078
12/28/2021,77.73,25229
12/27/2021,77.25,19411
12/24/2021,74.77,8711
12/23/2021,75.66,45006
12/22/2021,74.44,39684
12/21/2021,73.28,52089
12/20/2021,70.97,55410
12/17/2021,72.8,41107
12/16/2021,74.18,45924
12/15/2021,73.13,40809
12/14/2021,73.07,46134
12/13/2021,73.69,39571
12/10/2021,74.2,38045
12/9/2021,73.61,44357
12/8/2021,74.94,44426
12/7/2021,74.4,42404
12/6/2021,72,38214
12/3/2021,68.97,56566
12/2/2021,68.73,91386
12/1/2021,67.99,70613
11/30/2021,68.55,154425
11/29/2021,72.46,98820
11/26/2021,70.83,115994
11/25/2021,79.8,20647
11/24/2021,79.83,62410
11/23/2021,80.05,87128
