Security,CO14 Comdty                                                     ,
Start Date,6/16/2003 0:00,
End Date,4/12/2023 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
4/12/2023,79.58,591
4/11/2023,78.36,247
4/10/2023,77.33,343
4/6/2023,77.86,230
4/5/2023,77.99,1704
4/4/2023,77.9,488
4/3/2023,77.99,623
3/31/2023,75.83,10899
3/30/2023,74.93,10033
3/29/2023,74.23,12098
3/28/2023,74.71,13740
3/27/2023,74.55,16910
3/24/2023,71.91,18361
3/23/2023,72.51,11078
3/22/2023,73,18054
3/21/2023,72.07,22240
3/20/2023,71.29,27696
3/17/2023,70.54,30595
3/16/2023,71.45,35971
3/15/2023,70.59,75262
3/14/2023,73.35,25368
3/13/2023,75.83,24647
3/10/2023,77.16,13609
3/9/2023,76.43,11031
3/8/2023,77.35,9471
3/7/2023,77.87,12423
3/6/2023,80.07,15343
3/3/2023,79.68,12912
3/2/2023,78.57,11436
3/1/2023,78.14,14727
2/28/2023,77.81,137
2/27/2023,77.11,359
2/24/2023,77.96,585
2/23/2023,77.53,240
2/22/2023,76.61,735
2/21/2023,78.04,230
2/20/2023,78.89,363
2/17/2023,77.87,542
2/16/2023,79.48,199
2/15/2023,79.58,105
2/14/2023,79.73,140
2/13/2023,80.18,373
2/10/2023,79.75,609
2/9/2023,78.38,341
2/8/2023,78.95,779
2/7/2023,78,939
2/6/2023,76.18,836
2/3/2023,75.31,121
2/2/2023,77.46,858
2/1/2023,77.58,830
1/31/2023,79.93,296
1/30/2023,78.73,216
1/27/2023,80.04,305
1/26/2023,81.29,87
1/25/2023,80.81,203
1/24/2023,81.08,404
1/23/2023,82.52,137
1/20/2023,81.93,159
1/19/2023,80.96,365
1/18/2023,80.18,1054
1/17/2023,80.49,448
1/16/2023,79.8,124
1/13/2023,80.45,884
1/12/2023,79.55,291
1/11/2023,78.69,1156
1/10/2023,76.97,657
1/9/2023,77.04,999
1/6/2023,75.88,717
1/5/2023,75.66,385
1/4/2023,75.11,169
1/3/2023,77.46,423
1/2/2023,79.89,#N/A N/A
12/30/2022,79.89,190
12/29/2022,78.58,1881
12/28/2022,79.52,828
12/27/2022,79.96,895
12/23/2022,79.71,1621
12/22/2022,77.13,1656
12/21/2022,77.99,1096
12/20/2022,76.87,1717
12/19/2022,76.29,1011
12/16/2022,76.08,2470
12/15/2022,77.11,1893
12/14/2022,78.71,2324
12/13/2022,77.61,3855
12/12/2022,76.51,5636
12/9/2022,75.29,4541
12/8/2022,75.18,5997
12/7/2022,75.86,4768
12/6/2022,77.52,4650
12/5/2022,79.84,3660
12/2/2022,81.73,3717
12/1/2022,81.94,1364
11/30/2022,82.55,2733
11/29/2022,80.29,2219
11/28/2022,79.65,1709
11/25/2022,79.14,1617
11/24/2022,80.37,1212
11/23/2022,80.04,2157
11/22/2022,81.04,942
11/21/2022,80.78,993
11/18/2022,80.11,1531
11/17/2022,80.71,997
11/16/2022,82.17,774
11/15/2022,83.54,575
11/14/2022,82.17,336
11/11/2022,83.35,553
11/10/2022,81.6,590
11/9/2022,81.42,1295
11/8/2022,83.61,346
11/7/2022,85.17,704
11/4/2022,85.44,1374
11/3/2022,82.77,373
11/2/2022,83.88,458
11/1/2022,82.22,819
10/31/2022,81.8,792
10/28/2022,82.25,1763
10/27/2022,83.4,932
10/26/2022,82.61,843
10/25/2022,81.2,489
10/24/2022,80.29,1850
10/21/2022,80.19,265
10/20/2022,79.89,3003
10/19/2022,80.45,1389
10/18/2022,79.5,869
10/17/2022,79.73,411
10/14/2022,79.26,496
10/13/2022,81.23,566
10/12/2022,79.67,377
10/11/2022,80.95,821
10/10/2022,82.62,378
10/7/2022,83.74,1121
10/6/2022,81.78,2071
10/5/2022,80.76,991
10/4/2022,78.92,777
10/3/2022,76.64,272
9/30/2022,74.8,26158
9/29/2022,76.37,23348
9/28/2022,77.31,33673
9/27/2022,75.02,31413
9/26/2022,74.25,25260
