Security,CO20 Comdty                                                     ,
Start Date,6/16/2004 0:00,
End Date,4/12/2023 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
4/12/2023,77.04,359
4/11/2023,75.92,32
4/10/2023,75.05,13
4/6/2023,75.51,90
4/5/2023,75.62,1577
4/4/2023,75.44,40
4/3/2023,75.54,532
3/31/2023,74.11,17169
3/30/2023,73.4,20607
3/29/2023,72.88,18351
3/28/2023,73.31,21400
3/27/2023,73.2,31570
3/24/2023,70.91,29151
3/23/2023,71.36,19190
3/22/2023,71.72,24954
3/21/2023,70.98,29543
3/20/2023,70.43,53135
3/17/2023,69.76,57851
3/16/2023,70.4,55601
3/15/2023,69.62,96833
3/14/2023,71.87,44516
3/13/2023,73.93,33560
3/10/2023,75.01,21582
3/9/2023,74.46,16080
3/8/2023,75.24,13946
3/7/2023,75.65,15005
3/6/2023,77.63,17453
3/3/2023,77.28,23624
3/2/2023,76.24,20177
3/1/2023,75.85,21761
2/28/2023,75.6,180
2/27/2023,75.19,179
2/24/2023,76.06,395
2/23/2023,75.86,335
2/22/2023,75.16,268
2/21/2023,76.21,156
2/20/2023,77,41
2/17/2023,76.01,507
2/16/2023,77.45,25
2/15/2023,77.49,151
2/14/2023,77.52,75
2/13/2023,77.85,331
2/10/2023,77.39,936
2/9/2023,76.23,68
2/8/2023,76.78,202
2/7/2023,75.92,1450
2/6/2023,74.43,289
2/3/2023,73.67,69
2/2/2023,75.64,103
2/1/2023,75.74,143
1/31/2023,77.78,51
1/30/2023,76.62,122
1/27/2023,77.62,425
1/26/2023,78.7,133
1/25/2023,78.4,34
1/24/2023,78.71,32
1/23/2023,80.04,100
1/20/2023,79.4,250
1/19/2023,78.61,177
1/18/2023,77.91,371
1/17/2023,78.1,124
1/16/2023,77.76,8
1/13/2023,78.35,160
1/12/2023,77.6,8
1/11/2023,76.94,101
1/10/2023,75.47,38
1/9/2023,75.6,58
1/6/2023,74.44,73
1/5/2023,74.19,1278
1/4/2023,73.76,159
1/3/2023,75.58,599
1/2/2023,77.74,#N/A N/A
12/30/2022,77.74,1217
12/29/2022,76.53,3751
12/28/2022,77.51,1623
12/27/2022,77.75,2858
12/23/2022,77.54,2378
12/22/2022,75.2,66
12/21/2022,76,287
12/20/2022,75.16,93
12/19/2022,74.62,86
12/16/2022,74.45,106
12/15/2022,75.26,14
12/14/2022,76.79,291
12/13/2022,75.95,209
12/12/2022,75.25,70
12/9/2022,74.14,122
12/8/2022,73.88,220
12/7/2022,74.52,794
12/6/2022,76.04,83
12/5/2022,78.12,382
12/2/2022,79.74,179
12/1/2022,79.82,65
11/30/2022,80.31,1
11/29/2022,78.39,6
11/28/2022,77.81,92
11/25/2022,77.31,#N/A N/A
11/24/2022,78.36,15
11/23/2022,78.02,37
11/22/2022,78.77,112
11/21/2022,78.61,5
11/18/2022,77.92,79
11/17/2022,78.33,99
11/16/2022,79.39,3
11/15/2022,80.73,9
11/14/2022,79.39,8
11/11/2022,80.25,19
11/10/2022,78.62,31
11/9/2022,78.62,56
11/8/2022,80.54,285
11/7/2022,81.93,10
11/4/2022,82.14,37
11/3/2022,79.86,#N/A N/A
11/2/2022,80.88,90
11/1/2022,79.37,#N/A N/A
10/31/2022,79.08,4
10/28/2022,79.29,6
10/27/2022,80.32,14
10/26/2022,79.6,#N/A N/A
10/25/2022,78.37,17
10/24/2022,77.4,#N/A N/A
10/21/2022,77.47,#N/A N/A
10/20/2022,77.39,52
10/19/2022,77.83,7
10/18/2022,76.97,19
10/17/2022,76.9,#N/A N/A
10/14/2022,76.33,#N/A N/A
10/13/2022,78.02,109
10/12/2022,76.75,6
10/11/2022,78.01,9
10/10/2022,79.37,106
10/7/2022,80.33,295
10/6/2022,78.74,1020
10/5/2022,77.79,987
10/4/2022,76.14,137
10/3/2022,74.18,39
9/30/2022,72.47,3272
9/29/2022,73.94,4085
9/28/2022,74.94,4012
9/27/2022,72.87,4490
9/26/2022,72.23,4246
9/23/2022,73.62,7176
9/22/2022,76.51,4493
9/21/2022,75.93,3796
9/20/2022,76.45,2746
9/19/2022,78.04,2547
9/16/2022,77.92,3195
9/15/2022,77.97,3546
9/14/2022,80.74,4885
9/13/2022,80.46,8748
9/12/2022,80.71,8783
9/9/2022,79.58,6021
9/8/2022,77.07,2704
9/7/2022,76.79,7241
9/6/2022,79.77,3969
9/5/2022,80.06,3010
9/2/2022,79.71,4004
9/1/2022,79.72,7460
8/31/2022,82.35,165
8/30/2022,83.02,#N/A N/A
8/29/2022,85.46,75
8/26/2022,84.18,189
8/25/2022,84.37,112
8/24/2022,85.76,9
8/23/2022,85.76,1204
8/22/2022,84.38,59
8/19/2022,84.45,139
8/18/2022,84.1,4
8/17/2022,83.66,18
8/16/2022,83.18,#N/A N/A
8/15/2022,84.34,14
8/12/2022,85.58,3
8/11/2022,86.25,100
8/10/2022,85.44,71
8/9/2022,84,24
8/8/2022,84.33,158
8/5/2022,82.34,51
8/4/2022,82.21,335
8/3/2022,84.73,177
8/2/2022,86.15,111
8/1/2022,84.84,135
7/29/2022,87.06,265
7/28/2022,85.68,17
7/27/2022,86.35,71
7/26/2022,84.51,37
7/25/2022,84.46,30
7/22/2022,82.84,117
7/21/2022,83.47,101
7/20/2022,84.84,6
7/19/2022,84.9,298
7/18/2022,84.56,32
7/15/2022,81.51,115
7/14/2022,80.39,20
7/13/2022,81.98,1
7/12/2022,81.39,16
7/11/2022,85.48,#N/A N/A
7/8/2022,84.02,#N/A N/A
7/7/2022,82.55,3
7/6/2022,80.5,3
7/5/2022,80.62,45
7/4/2022,87.86,#N/A N/A
7/1/2022,86.5,69
6/30/2022,86.75,740
6/29/2022,89.95,482
6/28/2022,91.18,237
6/27/2022,88.74,146
6/24/2022,87.38,943
6/23/2022,85.44,217
6/22/2022,88.42,446
6/21/2022,90.09,132
6/20/2022,90.61,178
6/17/2022,90,599
6/16/2022,93.53,172
6/15/2022,92.47,446
6/14/2022,93.39,228
6/13/2022,94.53,219
6/10/2022,93.96,178
6/9/2022,94.89,612
6/8/2022,94.44,134
6/7/2022,92.85,143
6/6/2022,91.02,185
6/3/2022,91.15,103
6/2/2022,90.45,168
6/1/2022,89.31,395
5/31/2022,89.55,901
5/30/2022,90.65,89
5/27/2022,90.23,302
5/26/2022,89.89,735
5/25/2022,89,158
5/24/2022,88.51,102
5/23/2022,88.1,125
5/20/2022,87.17,180
5/19/2022,87.61,345
5/18/2022,86.2,317
5/17/2022,87.9,553
5/16/2022,88.48,71
5/13/2022,88.17,90
5/12/2022,87.07,303
5/11/2022,87.58,282
5/10/2022,83.88,1211
5/9/2022,84.94,594
5/6/2022,88.13,108
5/5/2022,87.38,313
5/4/2022,87.23,465
5/3/2022,84.67,194
5/2/2022,85.13,14
4/29/2022,85.31,185
4/28/2022,86.08,501
4/27/2022,85.97,421
4/26/2022,86.16,269
4/25/2022,85.57,189
4/22/2022,87.24,286
4/21/2022,89.26,572
4/20/2022,87.93,312
4/19/2022,87.41,180
4/18/2022,90.84,83
4/14/2022,91.11,218
4/13/2022,91.17,314
4/12/2022,89.69,762
4/11/2022,87.71,85
4/8/2022,89,242
4/7/2022,88.23,182
4/6/2022,87.54,1671
4/5/2022,89.44,313
4/4/2022,90.18,109
4/1/2022,88.36,171
3/31/2022,86.82,42732
3/30/2022,87.16,23365
3/29/2022,85.09,31925
3/28/2022,85.19,19559
3/25/2022,88.35,24990
3/24/2022,87.12,19784
3/23/2022,89.09,27667
3/22/2022,87.42,23426
