Security,CO8 Comdty                                                      ,
Start Date,4/11/2003 0:00,
End Date,4/12/2023 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
4/12/2023,82.67,9488
4/11/2023,81.41,7208
4/10/2023,80.23,4522
4/6/2023,80.88,6736
4/5/2023,80.97,10177
4/4/2023,80.88,10929
4/3/2023,80.93,17953
3/31/2023,77.91,77202
3/30/2023,76.79,77560
3/29/2023,75.9,83482
3/28/2023,76.41,87629
3/27/2023,76.21,93687
3/24/2023,73.26,95016
3/23/2023,74.02,65459
3/22/2023,74.69,77199
3/21/2023,73.51,100374
3/20/2023,72.43,132108
3/17/2023,71.6,146544
3/16/2023,72.77,156188
3/15/2023,71.81,296325
3/14/2023,75.12,123496
3/13/2023,77.98,145594
3/10/2023,79.61,80173
3/9/2023,78.67,66148
3/8/2023,79.73,64721
3/7/2023,80.34,65979
3/6/2023,82.79,65822
3/3/2023,82.36,76382
3/2/2023,81.19,57037
3/1/2023,80.75,66768
2/28/2023,80.41,9358
2/27/2023,79.39,6038
2/24/2023,80.21,6950
2/23/2023,79.57,11071
2/22/2023,78.43,16940
2/21/2023,80.27,7941
2/20/2023,81.2,4556
2/17/2023,80.13,8551
2/16/2023,81.98,6832
2/15/2023,82.15,9259
2/14/2023,82.4,11064
2/13/2023,83.03,8198
2/10/2023,82.68,15766
2/9/2023,81.06,12840
2/8/2023,81.7,10468
2/7/2023,80.6,9596
2/6/2023,78.36,10652
2/3/2023,77.41,12179
2/2/2023,79.75,10319
2/1/2023,80.01,11660
1/31/2023,82.81,14189
1/30/2023,81.65,9502
1/27/2023,83.31,15705
1/26/2023,84.54,8361
1/25/2023,83.83,6107
1/24/2023,84.05,7444
1/23/2023,85.6,11085
1/20/2023,85.05,5727
1/19/2023,83.92,11082
1/18/2023,83.03,17104
1/17/2023,83.49,9159
1/16/2023,82.34,6743
1/13/2023,83.17,9842
1/12/2023,81.99,9669
1/11/2023,80.9,11768
1/10/2023,78.88,12429
1/9/2023,78.76,10070
1/6/2023,77.58,7276
1/5/2023,77.53,9314
1/4/2023,76.8,7409
1/3/2023,79.88,5260
1/2/2023,82.57,#N/A N/A
12/30/2022,82.57,6132
12/29/2022,81.1,9957
12/28/2022,81.92,11336
12/27/2022,82.54,7347
12/23/2022,82.28,11137
12/22/2022,79.55,13830
12/21/2022,80.49,13305
12/20/2022,78.97,12865
12/19/2022,78.31,11635
12/16/2022,78.06,14432
12/15/2022,79.35,18699
12/14/2022,81.03,18501
12/13/2022,79.65,24806
12/12/2022,77.99,17105
12/9/2022,76.57,16834
12/8/2022,76.57,28059
12/7/2022,77.42,29083
12/6/2022,79.19,23139
12/5/2022,81.73,24144
12/2/2022,83.94,19066
12/1/2022,84.62,19146
11/30/2022,85.31,10539
11/29/2022,82.71,16773
11/28/2022,82.11,14606
11/25/2022,81.71,8728
11/24/2022,83.21,9272
11/23/2022,82.85,14226
11/22/2022,84.21,12882
11/21/2022,83.87,19928
11/18/2022,83.36,16158
11/17/2022,84.17,9708
11/16/2022,86.05,5792
11/15/2022,87.36,11360
11/14/2022,85.95,6252
11/11/2022,87.62,6862
11/10/2022,85.59,5973
11/9/2022,85.12,8776
11/8/2022,87.57,5313
11/7/2022,89.36,6655
11/4/2022,89.65,10353
11/3/2022,86.41,3097
11/2/2022,87.56,4870
11/1/2022,85.84,5495
10/31/2022,85.25,5831
10/28/2022,85.88,8224
10/27/2022,87.27,8663
10/26/2022,86.4,8303
10/25/2022,84.78,6606
10/24/2022,83.9,2885
10/21/2022,83.71,4845
10/20/2022,83.13,7616
10/19/2022,83.67,13052
10/18/2022,82.47,11304
10/17/2022,83.24,8567
10/14/2022,82.91,5553
10/13/2022,85.17,6639
10/12/2022,83.37,7594
10/11/2022,84.76,9194
10/10/2022,86.65,6770
10/7/2022,87.93,15183
10/6/2022,85.58,6726
10/5/2022,84.47,10764
10/4/2022,82.54,8854
10/3/2022,80.01,8980
9/30/2022,77.96,40369
9/29/2022,79.68,41166
9/28/2022,80.48,57891
9/27/2022,77.91,47818
9/26/2022,76.84,41625
9/23/2022,78.93,55336
9/22/2022,82.84,36823
9/21/2022,82.04,43887
9/20/2022,82.55,33740
9/19/2022,83.84,29090
9/16/2022,83.37,45748
9/15/2022,83.27,57629
9/14/2022,86.81,58933
9/13/2022,86.35,50394
9/12/2022,87.21,32773
9/9/2022,85.98,34462
9/8/2022,83.1,34970
9/7/2022,82.51,59813
9/6/2022,86.53,35849
9/5/2022,87.88,23655
9/2/2022,86.24,38906
9/1/2022,86.12,49990
8/31/2022,89.19,11463
8/30/2022,90.55,11376
8/29/2022,93.83,5547
8/26/2022,91.42,13854
8/25/2022,91.77,7470
8/24/2022,93.64,13986
8/23/2022,93.12,17025
8/22/2022,90.76,9576
8/19/2022,90.98,7072
8/18/2022,90.35,8573
8/17/2022,88.8,7547
8/16/2022,87.9,9124
8/15/2022,89.72,7778
8/12/2022,91.54,11076
8/11/2022,92.79,11945
8/10/2022,91.26,10128
8/9/2022,89.72,9557
8/8/2022,90,8257
8/5/2022,87.91,5152
8/4/2022,87.52,8260
8/3/2022,90.26,11719
8/2/2022,92.8,10826
8/1/2022,91.64,7864
7/29/2022,94.83,7980
7/28/2022,93.11,4621
7/27/2022,93.39,5630
7/26/2022,91.04,8245
7/25/2022,91.4,4044
7/22/2022,89.46,7381
7/21/2022,90.41,8139
7/20/2022,92.15,7805
7/19/2022,91.98,8267
7/18/2022,91.44,5094
7/15/2022,87.7,5721
7/14/2022,86.46,13927
7/13/2022,87.82,7043
7/12/2022,87.2,11801
7/11/2022,92.86,6132
7/8/2022,92.03,8979
7/7/2022,89.69,12651
7/6/2022,86.58,10247
7/5/2022,87.38,9834
7/4/2022,96.86,2499
7/1/2022,95.67,5379
6/30/2022,95.63,19394
6/29/2022,99.3,16272
6/28/2022,101.07,16283
6/27/2022,98.29,13383
6/24/2022,96.86,22381
6/23/2022,95.08,16463
6/22/2022,98.21,24808
6/21/2022,100.65,13565
6/20/2022,100.76,12086
6/17/2022,99.94,24804
6/16/2022,105.5,19375
6/15/2022,104.2,13704
6/14/2022,105.77,15542
6/13/2022,107.24,14133
6/10/2022,107.27,18515
6/9/2022,108.7,16994
6/8/2022,108.75,15975
6/7/2022,106.52,16108
6/6/2022,104.75,8870
6/3/2022,104.66,7502
6/2/2022,103.15,14062
6/1/2022,101.6,21099
5/31/2022,102.16,14035
5/30/2022,103.88,5657
5/27/2022,102.81,12686
5/26/2022,102.14,10050
5/25/2022,99.99,7961
5/24/2022,99.27,8512
5/23/2022,98.91,5845
5/20/2022,97.88,5808
5/19/2022,98.11,8002
5/18/2022,95.81,8222
5/17/2022,98.45,8370
5/16/2022,100.02,6456
5/13/2022,99.19,6535
5/12/2022,96.93,7068
5/11/2022,97.41,12539
5/10/2022,93.37,10633
5/9/2022,95.73,7646
5/6/2022,100.29,7624
5/5/2022,98.84,6893
5/4/2022,98.64,8768
5/3/2022,94.72,4850
5/2/2022,95.84,5464
4/29/2022,96.59,9790
4/28/2022,97.29,14614
4/27/2022,96.53,7935
4/26/2022,96.23,8280
4/25/2022,94.84,11405
4/22/2022,97.53,5455
4/21/2022,99.73,6442
4/20/2022,98.39,10021
4/19/2022,97.82,6310
4/18/2022,102.34,4863
4/14/2022,102.22,7889
4/13/2022,101.1,8135
4/12/2022,98.68,8753
4/11/2022,94.73,11560
4/8/2022,97.04,6390
4/7/2022,95.31,9911
4/6/2022,94.77,8705
4/5/2022,97.99,6203
4/4/2022,98.81,7145
4/1/2022,96.01,10755
3/31/2022,95.51,107874
3/30/2022,98.44,57624
3/29/2022,95.14,82262
3/28/2022,95.28,62393
3/25/2022,100.61,69788
3/24/2022,99.14,73189
3/23/2022,101.22,85283
3/22/2022,98.19,75645
3/21/2022,98.47,64299
3/18/2022,94.35,47436
3/17/2022,93.04,71014
3/16/2022,87.53,75380
3/15/2022,89.46,102318
3/14/2022,91.96,83594
3/11/2022,95.96,80400
3/10/2022,92.38,122737
3/9/2022,92.15,176608
3/8/2022,104.33,176356
3/7/2022,103,141094
3/4/2022,100.74,137699
3/3/2022,93.46,154026
3/2/2022,93.28,181344
3/1/2022,89,204675
2/28/2022,87.7,16923
2/25/2022,85.96,18890
2/24/2022,86.98,32890
2/23/2022,87.25,9586
2/22/2022,86.49,13847
2/21/2022,86.15,8411
2/18/2022,84.91,10360
2/17/2022,84.19,9003
2/16/2022,85.17,12750
2/15/2022,84.26,11307
2/14/2022,87.17,8687
2/11/2022,86.23,15548
2/10/2022,84.68,11379
2/9/2022,84.77,7516
2/8/2022,83.81,9151
2/7/2022,85.3,6401
2/4/2022,85.31,8601
2/3/2022,83.99,6661
2/2/2022,82.68,10150
2/1/2022,82.26,6077
1/31/2022,83.05,9597
1/28/2022,82.5,10107
1/27/2022,82.55,7496
1/26/2022,83.28,7911
1/25/2022,82.2,5528
1/24/2022,80.82,6734
1/21/2022,82.27,12082
1/20/2022,82.86,8306
1/19/2022,82.64,11511
1/18/2022,82.06,10809
1/17/2022,81.18,2457
1/14/2022,80.81,6430
1/13/2022,79.56,4452
1/12/2022,79.73,7624
1/11/2022,79.1,8540
1/10/2022,76.77,4733
1/7/2022,77.37,3947
1/6/2022,77.59,6922
1/5/2022,76.78,6615
1/4/2022,76.56,6344
1/3/2022,75.56,1918
12/31/2021,74.31,2929
12/30/2021,76.46,7299
12/29/2021,76.14,10333
12/28/2021,75.55,7780
12/27/2021,75.1,6259
12/24/2021,72.52,2592
12/23/2021,73.58,10968
12/22/2021,72.48,12568
12/21/2021,71.62,17994
12/20/2021,69.49,19244
12/17/2021,71.16,12191
12/16/2021,72.57,12796
12/15/2021,71.74,15921
12/14/2021,71.84,14127
12/13/2021,72.41,11440
12/10/2021,72.83,8549
12/9/2021,72.39,15223
12/8/2021,73.61,17897
12/7/2021,72.98,21979
12/6/2021,70.69,22183
12/3/2021,67.93,24784
12/2/2021,67.55,42792
12/1/2021,66.73,31877
11/30/2021,67.08,23971
11/29/2021,70.76,15037
11/26/2021,69.05,16482
11/25/2021,77.55,3335
11/24/2021,77.52,7296
11/23/2021,77.75,9253
