Security,CO10 Comdty                                                     ,
Start Date,4/11/2003 0:00,
End Date,4/12/2023 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
4/12/2023,81.6,8805
4/11/2023,80.3,5665
4/10/2023,79.17,4539
4/6/2023,79.78,5878
4/5/2023,79.89,17079
4/4/2023,79.8,12618
4/3/2023,79.88,19238
3/31/2023,77.15,3290
3/30/2023,76.09,2242
3/29/2023,75.27,4730
3/28/2023,75.76,5474
3/27/2023,75.58,1818
3/24/2023,72.72,2874
3/23/2023,73.43,2787
3/22/2023,74.03,2665
3/21/2023,72.92,3733
3/20/2023,71.96,4784
3/17/2023,71.14,7138
3/16/2023,72.23,7229
3/15/2023,71.32,7372
3/14/2023,74.44,4315
3/13/2023,77.19,3838
3/10/2023,78.71,3733
3/9/2023,77.83,1700
3/8/2023,78.85,2930
3/7/2023,79.43,2915
3/6/2023,81.81,1720
3/3/2023,81.39,2997
3/2/2023,80.24,6871
3/1/2023,79.79,2431
2/28/2023,79.49,3403
2/27/2023,78.57,2282
2/24/2023,79.41,3139
2/23/2023,78.83,3187
2/22/2023,77.75,4008
2/21/2023,79.46,2202
2/20/2023,80.37,1815
2/17/2023,79.34,12613
2/16/2023,81.09,3617
2/15/2023,81.23,3995
2/14/2023,81.47,4243
2/13/2023,82.02,3463
2/10/2023,81.65,7180
2/9/2023,80.09,3604
2/8/2023,80.7,4565
2/7/2023,79.65,3811
2/6/2023,77.56,8107
2/3/2023,76.63,4533
2/2/2023,78.9,3680
2/1/2023,79.09,6559
1/31/2023,81.79,66933
1/30/2023,80.6,66471
1/27/2023,82.16,64683
1/26/2023,83.42,49489
1/25/2023,82.79,46040
1/24/2023,83.04,52964
1/23/2023,84.55,58403
1/20/2023,84.01,54074
1/19/2023,82.93,61181
1/18/2023,82.06,88445
1/17/2023,82.48,70006
1/16/2023,81.49,25842
1/13/2023,82.25,46061
1/12/2023,81.17,65329
1/11/2023,80.16,63903
1/10/2023,78.25,60779
1/9/2023,78.2,56015
1/6/2023,77.02,42100
1/5/2023,76.91,46823
1/4/2023,76.25,67500
1/3/2023,79.05,45468
1/2/2023,81.65,#N/A N/A
12/30/2022,81.65,25648
12/29/2022,80.2,3632
12/28/2022,81.06,2508
12/27/2022,81.64,1716
12/23/2022,81.37,1868
12/22/2022,78.69,4556
12/21/2022,79.6,2929
12/20/2022,78.23,1764
12/19/2022,77.6,2257
12/16/2022,77.39,1889
12/15/2022,78.59,3312
12/14/2022,80.22,4229
12/13/2022,78.93,3872
12/12/2022,77.48,3159
12/9/2022,76.12,4766
12/8/2022,76.11,5358
12/7/2022,76.91,6086
12/6/2022,78.63,5142
12/5/2022,81.13,6246
12/2/2022,83.22,6734
12/1/2022,83.74,3945
11/30/2022,84.42,4302
11/29/2022,81.9,5657
11/28/2022,81.28,2831
11/25/2022,80.84,3634
11/24/2022,82.21,2214
11/23/2022,81.87,5708
11/22/2022,83.09,3525
11/21/2022,82.77,6214
11/18/2022,82.18,6119
11/17/2022,82.88,2842
11/16/2022,84.58,1272
11/15/2022,85.92,4422
11/14/2022,84.51,1723
11/11/2022,86,1663
11/10/2022,84.08,1552
11/9/2022,83.7,2141
11/8/2022,86.06,1714
11/7/2022,87.76,1226
11/4/2022,88.03,6127
11/3/2022,85.01,1824
11/2/2022,86.15,3323
11/1/2022,84.45,6922
10/31/2022,83.85,8884
10/28/2022,84.43,8413
10/27/2022,85.76,5609
10/26/2022,84.93,7110
10/25/2022,83.4,4961
10/24/2022,82.51,4108
10/21/2022,82.33,4897
10/20/2022,81.84,11028
10/19/2022,82.42,9377
10/18/2022,81.32,12119
10/17/2022,81.87,4711
10/14/2022,81.48,4803
10/13/2022,83.64,8554
10/12/2022,81.92,6916
10/11/2022,83.27,8999
10/10/2022,85.12,4939
10/7/2022,86.35,6940
10/6/2022,84.14,7077
10/5/2022,83.05,12821
10/4/2022,81.15,8998
10/3/2022,78.72,6160
9/30/2022,76.76,3042
9/29/2022,78.41,2205
9/28/2022,79.25,4843
9/27/2022,76.81,2823
9/26/2022,75.87,2344
9/23/2022,77.87,5785
9/22/2022,81.59,2573
9/21/2022,80.83,2024
9/20/2022,81.35,2147
9/19/2022,82.67,2572
9/16/2022,82.27,2825
9/15/2022,82.23,4025
9/14/2022,85.62,4027
9/13/2022,85.17,3843
9/12/2022,85.93,3779
9/9/2022,84.75,2050
9/8/2022,81.95,2117
9/7/2022,81.41,3419
9/6/2022,85.27,3343
9/5/2022,86.4,3432
9/2/2022,85.02,4145
9/1/2022,84.9,8799
8/31/2022,87.88,4108
8/30/2022,88.99,2974
8/29/2022,92.08,2480
8/26/2022,89.94,4165
8/25/2022,90.25,3108
8/24/2022,92.08,6928
8/23/2022,91.72,3168
8/22/2022,89.55,3602
8/19/2022,89.74,3977
8/18/2022,89.13,2625
8/17/2022,87.79,2979
8/16/2022,86.98,4036
8/15/2022,88.65,2586
8/12/2022,90.36,3836
8/11/2022,91.53,4584
8/10/2022,90.13,7620
8/9/2022,88.6,6108
8/8/2022,88.87,3229
8/5/2022,86.77,2609
8/4/2022,86.43,2780
8/3/2022,89.14,4770
8/2/2022,91.46,9047
8/1/2022,90.28,4246
7/29/2022,93.24,30123
7/28/2022,91.59,24393
7/27/2022,91.95,27337
7/26/2022,89.67,27566
7/25/2022,89.96,22331
7/22/2022,88.05,31038
7/21/2022,88.97,34024
7/20/2022,90.62,25046
7/19/2022,90.47,30472
7/18/2022,89.96,31918
7/15/2022,86.4,27269
7/14/2022,85.24,54316
7/13/2022,86.67,34066
7/12/2022,86.04,38147
7/11/2022,91.42,21907
7/8/2022,90.43,31990
7/7/2022,88.21,34229
7/6/2022,85.3,47235
7/5/2022,85.95,53195
7/4/2022,95.05,11628
7/1/2022,93.82,19608
6/30/2022,93.63,2634
6/29/2022,97.21,4253
6/28/2022,98.88,7369
6/27/2022,96.2,3540
6/24/2022,94.79,5397
6/23/2022,93.02,3034
6/22/2022,96.21,5508
6/21/2022,98.44,3138
6/20/2022,98.64,970
6/17/2022,97.84,2694
6/16/2022,102.97,3291
6/15/2022,101.75,2496
6/14/2022,103.21,2711
6/13/2022,104.66,2170
6/10/2022,104.59,2102
6/9/2022,105.93,3038
6/8/2022,105.73,2639
6/7/2022,103.61,1345
6/6/2022,101.77,1712
6/3/2022,101.73,968
6/2/2022,100.38,1786
6/1/2022,98.92,2051
5/31/2022,99.3,2784
5/30/2022,100.89,649
5/27/2022,99.96,1347
5/26/2022,99.34,2057
5/25/2022,97.47,5207
5/24/2022,96.82,1800
5/23/2022,96.43,462
5/20/2022,95.42,1105
5/19/2022,95.71,1032
5/18/2022,93.6,1915
5/17/2022,96.03,2118
5/16/2022,97.44,1323
5/13/2022,96.76,1617
5/12/2022,94.76,2374
5/11/2022,95.3,2114
5/10/2022,91.35,1301
5/9/2022,93.4,1431
5/6/2022,97.6,1078
5/5/2022,96.37,1808
5/4/2022,96.16,1462
5/3/2022,92.56,2087
5/2/2022,93.5,1374
4/29/2022,93.91,7831
4/28/2022,94.67,10106
4/27/2022,94.11,8718
4/26/2022,93.91,9403
4/25/2022,92.74,9865
4/22/2022,95.13,5133
4/21/2022,97.35,8324
4/20/2022,96.01,6963
4/19/2022,95.38,7899
4/18/2022,99.77,3333
4/14/2022,99.77,6581
4/13/2022,99,6155
4/12/2022,96.75,10033
4/11/2022,93.32,8807
4/8/2022,95.36,8955
4/7/2022,93.86,9143
4/6/2022,93.25,10792
4/5/2022,96.13,6805
4/4/2022,96.97,7599
4/1/2022,94.38,11713
3/31/2022,93.33,13779
3/30/2022,95.66,2754
3/29/2022,92.61,3319
3/28/2022,92.58,2794
3/25/2022,97.33,4089
3/24/2022,95.97,4200
3/23/2022,98.01,7317
3/22/2022,95.39,4790
3/21/2022,95.73,5019
3/18/2022,92.1,2526
3/17/2022,90.91,4160
3/16/2022,85.83,5365
3/15/2022,87.68,4622
3/14/2022,89.7,7027
3/11/2022,93.37,4518
3/10/2022,89.95,11355
3/9/2022,89.5,12108
3/8/2022,100.79,15875
3/7/2022,100.18,9884
3/4/2022,98.23,8389
3/3/2022,91.28,6109
3/2/2022,91.04,13343
3/1/2022,87.08,15541
2/28/2022,86.02,4452
2/25/2022,84.54,5030
2/24/2022,85.52,9117
2/23/2022,85.9,1874
2/22/2022,85.13,2451
2/21/2022,84.82,3084
2/18/2022,83.61,2452
2/17/2022,82.92,2507
2/16/2022,83.77,4563
2/15/2022,82.86,4177
2/14/2022,85.63,3248
2/11/2022,84.81,4083
2/10/2022,83.38,4915
2/9/2022,83.45,3427
2/8/2022,82.45,3386
2/7/2022,83.85,1753
2/4/2022,83.78,3232
2/3/2022,82.59,3483
2/2/2022,81.33,5818
2/1/2022,80.92,7027
1/31/2022,81.62,49267
1/28/2022,81.1,82926
1/27/2022,81.18,66175
1/26/2022,81.89,86492
1/25/2022,80.92,59877
1/24/2022,79.62,70260
1/21/2022,80.98,73481
1/20/2022,81.54,66280
1/19/2022,81.23,67361
1/18/2022,80.7,83484
1/17/2022,79.87,25686
1/14/2022,79.49,63220
1/13/2022,78.33,48042
1/12/2022,78.49,62098
1/11/2022,77.92,62783
1/10/2022,75.73,40308
1/7/2022,76.3,43584
1/6/2022,76.48,66773
1/5/2022,75.75,52626
1/4/2022,75.59,50334
1/3/2022,74.59,24594
12/31/2021,73.35,21052
12/30/2021,75.45,1054
12/29/2021,75.12,3322
12/28/2021,74.51,2118
12/27/2021,74.09,1920
12/24/2021,71.52,301
12/23/2021,72.65,2496
12/22/2021,71.59,2263
12/21/2021,70.86,2980
12/20/2021,68.82,7121
12/17/2021,70.39,1900
12/16/2021,71.79,2579
12/15/2021,71.07,2546
12/14/2021,71.24,2574
12/13/2021,71.77,1333
12/10/2021,72.17,3356
12/9/2021,71.78,3769
12/8/2021,72.95,2029
12/7/2021,72.28,4684
12/6/2021,70.08,8016
12/3/2021,67.45,4821
12/2/2021,67.03,11676
12/1/2021,66.22,10228
11/30/2021,66.48,8699
11/29/2021,70.07,7714
11/26/2021,68.32,8213
11/25/2021,76.58,773
11/24/2021,76.48,2627
11/23/2021,76.72,3609
