Security,CO3 Comdty                                                      ,
Start Date,4/11/2003 0:00,
End Date,4/12/2023 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
4/12/2023,85.99,121870
4/11/2023,84.54,81421
4/10/2023,83.21,39973
4/6/2023,84.04,85807
4/5/2023,84.04,74685
4/4/2023,83.97,113792
4/3/2023,83.97,146607
3/31/2023,79.73,155115
3/30/2023,78.46,135053
3/29/2023,77.44,156697
3/28/2023,77.98,166756
3/27/2023,77.68,141661
3/24/2023,74.52,130441
3/23/2023,75.4,125245
3/22/2023,76.25,118936
3/21/2023,74.91,150533
3/20/2023,73.48,192659
3/17/2023,72.68,205225
3/16/2023,74.07,133790
3/15/2023,73.05,229328
3/14/2023,76.72,139611
3/13/2023,79.87,166214
3/10/2023,81.76,132352
3/9/2023,80.71,117725
3/8/2023,81.82,141244
3/7/2023,82.43,115078
3/6/2023,85.16,76477
3/3/2023,84.78,85325
3/2/2023,83.57,60846
3/1/2023,83.17,53324
2/28/2023,82.83,143038
2/27/2023,81.51,120539
2/24/2023,82.29,161992
2/23/2023,81.48,197305
2/22/2023,80.08,201255
2/21/2023,82.29,142177
2/20/2023,83.28,73311
2/17/2023,82.17,168871
2/16/2023,84.25,123682
2/15/2023,84.5,139141
2/14/2023,84.77,151144
2/13/2023,85.63,113901
2/10/2023,85.35,201830
2/9/2023,83.52,181814
2/8/2023,84.16,147868
2/7/2023,82.89,153593
2/6/2023,80.29,181096
2/3/2023,79.33,186458
2/2/2023,81.7,195150
2/1/2023,82.16,175019
1/31/2023,85.17,169880
1/30/2023,84.14,145056
1/27/2023,86.04,161161
1/26/2023,87.06,123977
1/25/2023,86.04,107252
1/24/2023,86.14,114900
1/23/2023,87.97,101728
1/20/2023,87.51,95072
1/19/2023,86.18,125228
1/18/2023,85.19,152518
1/17/2023,85.88,112470
1/16/2023,84.45,70196
1/13/2023,85.34,114034
1/12/2023,83.97,154794
1/11/2023,82.71,129325
1/10/2023,80.25,119006
1/9/2023,79.89,101166
1/6/2023,78.74,95948
1/5/2023,78.8,94686
1/4/2023,78.01,125570
1/3/2023,81.95,120516
1/2/2023,85.27,#N/A N/A
12/30/2022,85.27,37386
12/29/2022,83.31,78278
12/28/2022,83.93,89769
12/27/2022,84.58,62431
12/23/2022,84.34,78858
12/22/2022,81.46,113159
12/21/2022,82.39,95294
12/20/2022,80.44,89881
12/19/2022,79.87,75509
12/16/2022,79.36,126533
12/15/2022,80.99,102140
12/14/2022,82.49,113435
12/13/2022,80.79,136616
12/12/2022,78.47,81932
12/9/2022,76.84,84627
12/8/2022,76.83,116701
12/7/2022,77.83,140386
12/6/2022,79.84,114944
12/5/2022,82.63,100131
12/2/2022,85.43,73324
12/1/2022,86.58,74739
11/30/2022,86.99,145258
11/29/2022,84.24,202775
11/28/2022,83.79,185602
11/25/2022,83.54,97975
11/24/2022,85.1,88370
11/23/2022,84.93,181576
11/22/2022,87.21,170990
11/21/2022,86.67,248472
11/18/2022,86.56,278195
11/17/2022,87.99,162177
11/16/2022,90.57,120799
11/15/2022,91.73,204470
11/14/2022,90.6,119578
11/11/2022,92.98,108648
11/10/2022,90.71,135544
11/9/2022,89.91,146543
11/8/2022,92.64,108267
11/7/2022,94.88,91893
11/4/2022,95.33,128336
11/3/2022,91.56,104861
11/2/2022,92.85,105650
11/1/2022,91.17,99927
10/31/2022,91.02,120996
10/28/2022,91.86,136708
10/27/2022,93.25,111118
10/26/2022,92.09,142214
10/25/2022,90.1,112613
10/24/2022,89.43,64062
10/21/2022,89.45,91752
10/20/2022,88.61,131067
10/19/2022,88.85,145831
10/18/2022,87.13,146873
10/17/2022,88.58,107049
10/14/2022,88.51,92889
10/13/2022,91.21,123417
10/12/2022,89.16,108767
10/11/2022,90.7,92343
10/10/2022,92.49,71830
10/7/2022,93.92,100540
10/6/2022,90.95,80781
10/5/2022,89.86,135423
10/4/2022,87.99,121397
10/3/2022,85.22,111998
9/30/2022,83.52,125028
9/29/2022,85.48,125657
9/28/2022,86.28,132772
9/27/2022,83.11,121719
9/26/2022,81.34,116807
9/23/2022,83.61,135346
9/22/2022,88.1,106742
9/21/2022,87.31,125661
9/20/2022,87.85,117681
9/19/2022,89.09,60809
9/16/2022,88.51,105135
9/15/2022,88.12,132871
9/14/2022,91.69,127409
9/13/2022,90.88,133849
9/12/2022,91.68,88145
9/9/2022,90.42,93050
9/8/2022,87.22,100690
9/7/2022,86.31,120057
9/6/2022,90.92,88122
9/5/2022,93.07,55695
9/2/2022,90.66,88574
9/1/2022,90.3,120406
8/31/2022,94.21,241692
8/30/2022,96.46,250584
8/29/2022,100.94,137976
8/26/2022,97.35,186343
8/25/2022,97.25,170753
8/24/2022,99.11,196719
8/23/2022,98,170193
8/22/2022,94.88,159010
8/19/2022,95.14,146274
8/18/2022,94.68,175898
8/17/2022,92.3,149891
8/16/2022,91.06,148683
8/15/2022,93.4,140610
8/12/2022,95.78,118198
8/11/2022,97.15,125593
8/10/2022,95.18,153224
8/9/2022,93.64,127209
8/8/2022,93.9,112184
8/5/2022,91.92,126191
8/4/2022,91.31,163308
8/3/2022,94.06,170154
8/2/2022,97.28,142218
8/1/2022,96.47,156086
7/29/2022,101.44,154671
7/28/2022,99.49,141149
7/27/2022,99.44,117459
7/26/2022,97.14,112323
7/25/2022,97.8,101765
7/22/2022,95.93,89462
7/21/2022,96.97,129097
7/20/2022,99.51,101123
7/19/2022,99.84,96577
7/18/2022,98.95,89836
7/15/2022,94.54,112332
7/14/2022,92.82,152479
7/13/2022,93.97,108974
7/12/2022,93.61,101270
7/11/2022,100.8,70231
7/8/2022,100.51,97932
7/7/2022,97.99,121687
7/6/2022,94.12,152225
7/5/2022,95.79,140557
7/4/2022,106.11,40282
7/1/2022,104.65,91703
6/30/2022,105.59,155919
6/29/2022,109.26,132116
6/28/2022,110.78,123365
6/27/2022,107.88,100826
6/24/2022,106.09,120909
6/23/2022,103.69,119857
6/22/2022,106.15,144026
6/21/2022,109.19,98086
6/20/2022,108.88,73753
6/17/2022,107.92,118500
6/16/2022,114.4,129207
6/15/2022,112.85,96989
6/14/2022,114.94,123465
6/13/2022,116.35,84155
6/10/2022,116.37,99271
6/9/2022,117.82,69414
6/8/2022,118.36,92245
6/7/2022,115.8,97641
6/6/2022,114.45,69417
6/3/2022,114.43,46069
6/2/2022,112.55,80206
6/1/2022,111.03,82748
5/31/2022,112.58,189945
5/30/2022,114.51,73152
5/27/2022,112.7,133483
5/26/2022,111.55,113114
5/25/2022,108.68,104978
5/24/2022,108.11,116158
5/23/2022,108.1,103974
5/20/2022,107.32,91507
5/19/2022,107.31,156449
5/18/2022,104.53,147550
5/17/2022,107.53,169511
5/16/2022,109.68,105961
5/13/2022,107.71,100971
5/12/2022,104.23,113996
5/11/2022,104.46,131312
5/10/2022,99.77,139055
5/9/2022,102.99,120903
5/6/2022,108.99,116333
5/5/2022,107.31,116726
5/4/2022,106.95,101706
5/3/2022,102.16,77587
5/2/2022,104.08,63534
4/29/2022,105.45,146429
4/28/2022,105.72,140351
4/27/2022,103.85,110203
4/26/2022,103.52,123095
4/25/2022,101.2,141066
4/22/2022,104.87,97166
4/21/2022,106.77,96085
4/20/2022,105.21,129887
4/19/2022,105.23,122393
4/18/2022,110.31,59168
4/14/2022,109.47,89163
4/13/2022,106.99,112704
4/12/2022,103.55,111832
4/11/2022,97.87,90532
4/8/2022,101.37,76406
4/7/2022,99.36,105280
4/6/2022,99.31,108795
4/5/2022,103.8,67807
4/4/2022,104.56,74338
4/1/2022,101.44,87243
3/31/2022,102.73,189849
3/30/2022,108.64,129453
3/29/2022,104.74,155101
3/28/2022,106.16,124794
3/25/2022,113.58,113271
3/24/2022,111.51,134161
3/23/2022,113.86,132450
3/22/2022,108.53,112273
3/21/2022,108.64,100069
3/18/2022,102.54,67720
3/17/2022,100.95,99346
3/16/2022,93.66,103064
3/15/2022,95.64,132243
3/14/2022,100.58,97159
3/11/2022,106.16,91348
3/10/2022,102.36,142261
3/9/2022,103.51,189810
3/8/2022,119.34,171473
3/7/2022,115.1,145223
3/4/2022,110.87,141262
3/3/2022,103,170080
3/2/2022,104.16,158528
3/1/2022,97.97,171763
2/28/2022,95.1,255510
2/25/2022,91.77,257103
2/24/2022,92.89,446844
2/23/2022,92.18,183325
2/22/2022,91.75,223527
2/21/2022,91.17,120611
2/18/2022,89.69,219238
2/17/2022,89.08,202047
2/16/2022,90.61,252883
2/15/2022,89.29,208315
2/14/2022,92.59,183898
2/11/2022,91.05,257705
2/10/2022,88.82,158715
2/9/2022,88.97,158251
2/8/2022,88.13,177937
2/7/2022,89.89,143069
2/4/2022,90.22,140503
2/3/2022,88.42,148717
2/2/2022,86.91,141469
2/1/2022,86.55,108656
1/31/2022,87.85,127892
1/28/2022,87.17,186268
1/27/2022,87.02,146034
1/26/2022,87.65,166449
1/25/2022,86.23,115499
1/24/2022,84.56,116583
1/21/2022,86.19,120681
1/20/2022,86.74,94810
1/19/2022,86.69,106167
1/18/2022,85.94,96379
1/17/2022,84.96,48767
1/14/2022,84.57,90204
1/13/2022,83.03,90343
1/12/2022,83.25,105049
1/11/2022,82.42,88424
1/10/2022,79.7,98639
1/7/2022,80.38,79381
1/6/2022,80.61,117547
1/5/2022,79.59,105768
1/4/2022,79.09,82595
1/3/2022,78.12,40739
12/31/2021,76.9,24847
12/30/2021,79.08,89316
12/29/2021,78.79,84998
12/28/2021,78.21,53267
12/27/2021,77.73,43056
12/24/2021,75.27,12926
12/23/2021,76.14,94621
12/22/2021,74.87,82999
12/21/2021,73.62,89696
12/20/2021,71.28,118641
12/17/2021,73.17,80643
12/16/2021,74.56,87282
12/15/2021,73.45,80720
12/14/2021,73.35,105413
12/13/2021,73.98,74524
12/10/2021,74.54,62147
12/9/2021,73.91,78950
12/8/2021,75.25,93775
12/7/2021,74.73,84482
12/6/2021,72.32,66247
12/3/2021,69.2,83969
12/2/2021,69,136499
12/1/2021,68.28,112765
11/30/2021,68.88,273684
11/29/2021,72.84,198119
11/26/2021,71.21,264323
11/25/2021,80.36,63342
11/24/2021,80.42,138927
11/23/2021,80.66,216375
