Date,result_5,result_10,pca_0,pca_1,pca_2,pca_3,pca_4,contago,contago_next,status_change,result_10_ma
2010-01-04,0.018579626457530196,0.036814050395759024,-1.830906718795564,0.3824338530647303,-0.1920332240129883,0.1476587712563393,0.0178212526688666,1,1.0,0,
2010-01-05,0.01998629882300884,0.03957314550537516,-1.866689869238384,0.4516250428227633,-0.1770856570366536,0.1437313579791953,0.0037357436699671,1,1.0,0,
2010-01-06,0.03289852358950829,0.06471473432464703,-1.8798525975265157,0.4980081292701743,-0.1694011264134475,0.1348985570061191,0.0124580393793828,1,1.0,0,
2010-01-07,0.018551816515936626,0.03675946313583234,-1.7738917587411125,0.5883064584527846,-0.1181332734615357,0.1420163038115071,0.0016382971063239,1,1.0,0,
2010-01-08,0.02790125926161524,0.05502403825484681,-1.8894538212721168,0.5256773964650566,-0.1305595371451221,0.1193361693277621,0.0020780643685731,1,1.0,0,0.04657708632329207
2010-01-11,0.01853294699055641,0.036722423856957676,-1.927225127584372,0.5493856575971813,-0.1163733884714475,0.0768622942683809,-0.0084873604836233,1,1.0,0,0.0465587610155318
2010-01-12,0.01853565226524867,0.036727734125599376,-1.9075910616985976,0.6116043572450995,-0.1414479535316719,0.0531111273284295,-0.0039599959348181,1,1.0,0,0.04598967873957664
2010-01-13,0.018565375341790258,0.03678607752199925,-1.8905870599115784,0.6319790152134653,-0.1403435061834126,0.0289959383845697,-0.0067144706484616,1,1.0,0,0.04040394737904709
2010-01-14,0.018539138146787204,0.03673457665034863,-2.061984042960954,0.4862841725823114,-0.2489065667633969,0.0233438827028179,-0.0071906632694301,1,1.0,0,0.04039897008195035
2010-01-15,0.018516753450616097,0.036690636742881644,-2.0528766968333625,0.4367592181623153,-0.1785184459277147,0.0645200205747359,-0.0198103394398508,1,1.0,0,0.036732289779557316
2010-01-18,0.028663587779687028,0.05650557429496983,-2.006224808685301,0.4265268333994024,-0.1660004509019549,0.0662326495994181,-0.0201152241664287,1,1.0,0,0.040688919867159744
2010-01-19,0.018505929742553384,0.03666939004947101,-1.981331743643055,0.4628600925648236,-0.183250328803822,0.067907588593716,-0.0311841813473453,1,1.0,0,0.04067725105193407
2010-01-20,0.018499801431889562,0.03665736021076005,-2.0142663272078765,0.4717855104467941,-0.1597864432128421,0.0506432794522394,-0.0160080269094619,1,1.0,0,0.040651507589686234
2010-01-21,0.018494432336046307,0.03664682064465996,-1.9977947574094823,0.4838441827964214,-0.176961073275251,0.0656278717896519,-0.0144667900861372,1,1.0,0,0.0406339563885485
2010-01-22,0.01846774174762933,0.036594426010001735,-2.0278658263424267,0.4841644600026041,-0.1437017437643052,0.0496424436844291,-0.0336299369969567,1,1.0,0,0.040614714241972515
2010-01-25,0.01849788028066479,0.0366535889864521,-1.973862118719998,0.5169301024021571,-0.1446332159800558,0.0552711404936665,-0.0101528418242228,1,1.0,0,0.03664431718026897
2010-01-26,0.0290841249325704,0.05732236354204767,-1.9146706922936048,0.5168668975787603,-0.1253423440347013,0.0798636889168264,-0.012723769626091,1,1.0,0,0.040774911878784306
2010-01-27,0.018466540629531458,0.036592068136241274,-1.931040477533013,0.489471203351736,-0.1308377639341262,0.0811085563421117,-0.0054530320531276,1,1.0,0,0.040761853463880546
2010-01-28,0.018454308205614556,0.036568054919881465,-1.9094133839156424,0.419771872152305,-0.1098273123880327,0.0834769688478832,-0.019548770228222,1,1.0,0,0.04074610031892485
2010-01-29,0.01847455693208966,0.03660780461034241,-1.9241581797259888,0.4830940824991265,-0.1276596900469802,0.0804761833315603,-0.027742526697456,1,1.0,0,0.04074877603899298
2010-02-01,0.018474401452528655,0.03660749939602792,-1.8942965245742716,0.481474092338666,-0.1129194021026064,0.0825685061655679,-0.018385667908529,1,1.0,0,0.04073955812090815
2010-02-02,0.018225325830726335,0.0361184891598163,-1.807023229045112,0.4634544218150347,-0.0896267804250547,0.0879694013951366,-0.025105968536677,1,1.0,0,0.036498783244461874
2010-02-03,0.018450628233564803,0.03656083078491612,-1.7525463195987276,0.5334516520056027,-0.0612544030595182,0.0840336206609174,-0.0067940470931224,1,1.0,0,0.036492535774196845
2010-02-04,0.018440577895860955,0.03654110087858875,-1.7053930484204445,0.6531924740956099,-0.0575549727731438,0.0809310099691745,-0.0134018960199279,1,1.0,0,0.0364871449659383
2010-02-05,0.018472658135640696,0.03660407717268477,-1.776315485177623,0.5546033867443869,-0.1157226384069232,0.1034347948726304,-0.0075513999756508,1,1.0,0,0.036486399478406775
2010-02-08,0.01840435502276616,0.03646998976172866,-1.8197150691562491,0.5050811396454329,-0.1180976261080396,0.0904878300152907,-0.0187899282782433,1,1.0,0,0.03645889755154692
2010-02-09,0.04033712340730933,0.07904716328984174,-1.7995655633409189,0.5132376286773316,-0.1345308872032566,0.0975939394591415,-0.0024587315418924,1,1.0,0,0.045044632377552005
2010-02-10,0.02195160022876208,0.043421327704920465,-1.7277975180623826,0.4450094566693773,-0.173355630943213,0.0590034435900639,-0.0170384622108258,1,1.0,0,0.04641673176155288
2010-02-11,0.01841390213184413,0.03648873247196649,-1.936474185495236,0.0608429322701136,-0.3961525700871615,0.0237623054511022,-0.0303577523234039,1,1.0,0,0.04640625808022843
2010-02-12,0.018395621691825514,0.03645284448622221,-1.6432227462583977,0.4806779377056751,-0.1973345027036749,0.0897320091359926,0.0279578020348874,1,1.0,0,0.04637601154293591
2010-02-15,0.018315499140670877,0.036295540772569135,-1.641381885959602,0.4833023036243374,-0.1833833348705171,0.0887570838752165,0.0262605436009426,1,1.0,0,0.046341121745104005
