,start_5day,end_5day,start_end_5day,start_10day,end_10day,start_end_10day,start_30day,end_30day,start_end_30day,start_60day,end_60day,start_end_60day,pca_0,pca_1,pca_2,pca_3,pca_4,contago,contago_next,status_change
2008-02-04,0.007778845785554678,0.008564887529536528,0.01634373331509109,0.015430556190091023,0.016989792821416556,0.03242034901150781,0.04480709525293281,0.049334791040498135,0.0941418862934309,0.08539596603942497,0.09402511179255137,0.17942107783197625,0.3928750342219967,0.1511488008747846,-0.0002096871606556,0.0186561116995971,0.0074544532883177,0,0.0,0
2008-02-05,0.008862718212194741,0.0075319366628716095,0.016394654875066417,0.017580135218045585,0.014940389823614581,0.03252052504166025,0.05104385245072977,0.04337936223210395,0.09442321468283366,0.09726798026326541,0.08266270563136155,0.17993068589462702,0.3819503112259777,0.1855804055700884,0.0183385742702669,0.0317443140450815,-0.0032999983899705,0,0.0,0
2008-02-06,0.007592740355448116,0.008988070192845104,0.01658081054829319,0.015059586921520157,0.017827110896627873,0.032886697818148125,0.04370926798023343,0.05174178890528238,0.0954510568855158,0.08324644013606111,0.098544769374408,0.181791209510469,0.3094953540581887,0.1760802106909878,0.0157050825402748,0.032913238475373,0.0060002775847723,0,0.0,0
2008-02-07,0.023616464346560128,0.02456846996325129,0.0481849343098113,0.046094970909951224,0.04795310981523073,0.094048080725182,0.1256871940244523,0.1307537828627116,0.25644097688716383,0.21914304123106693,0.22797693791641674,0.4471199791474836,0.2457398703454883,0.1812436602664442,0.0889356710485466,0.0410035254118317,0.008084113292091,0,0.0,0
2008-02-08,0.024305586925379156,0.023627195011207143,0.047932781936586455,0.047446139452823374,0.046121872836168906,0.09356801228899236,0.12943548514655334,0.12582281836340042,0.2552583035099536,0.2258314879406099,0.2195283175685184,0.4453598055091279,0.4100294650047683,0.129774129389345,0.0228204660047946,0.0531685447097757,0.0085712554060835,0,0.0,0
2008-02-11,0.007433643216235356,0.008887792763897409,0.016321435980132915,0.014745958700617774,0.017630523987194176,0.0323764826878119,0.0428210665261687,0.05119760985870835,0.09401867638487715,0.08161615305615809,0.09758168820443143,0.17919784126058946,0.5082334660177253,0.1356703273670664,0.0232895890986214,0.063900005947088,-0.0115818061213412,0,0.0,0
2008-02-12,0.008868436907996699,0.007411451569731441,0.01627988847772821,0.01759249665215944,0.014702245534449567,0.03229474218660888,0.05109140262602104,0.042697654628513444,0.09378905725453457,0.09739099076593553,0.08139073648243875,0.17878172724837427,0.4829424956877439,0.1956002370941235,0.060320824953382,0.0680711531054075,0.0036943397955843,0,0.0,0
2008-02-13,0.02433792705987874,0.023643005904097684,0.04798093296397665,0.04750809767301528,0.04615159832684395,0.09365969599985924,0.12959225868229982,0.12589200919259533,0.255484267874895,0.22607573403289788,0.21962059058532055,0.4456963246182186,0.5012130311748431,0.1803753280162355,0.0420644187179826,0.0609905547619126,0.0335371922993796,0,0.0,0
2008-02-14,0.008665285197402188,0.007631082376508867,0.016296367573910953,0.017189357722094744,0.015137805829623352,0.032327163551718385,0.049918987291982894,0.04396115021017699,0.09388013750216029,0.09515157319302595,0.08379522159386954,0.17894679478689524,0.3639096808651664,-0.1927898204514935,-0.2000745496339468,0.0124824666057032,0.0195157617335007,0,0.0,0
2008-02-15,0.007423334650628404,0.008880257745231702,0.0163035923958601,0.014725642278894894,0.01761573538781496,0.032341377666709636,0.04276358666385151,0.051156480147827844,0.09392006681167953,0.08151081441112695,0.09750834026232123,0.1790191546734481,0.4358051380584155,0.0051078019495822,-0.1040666436042144,0.0458396277771514,0.0159930687196358,0,0.0,0
2008-02-18,0.023636790055447048,0.02420378764243988,0.047840577697886744,0.04614278241971782,0.04724965210158844,0.09339243452130619,0.12590265102507658,0.12892279458770758,0.2548254456127841,0.21972210289885646,0.22499278059495645,0.44471488349381305,0.4375446085737837,-0.0197588264403188,-0.069285944755736,0.047739604271147,0.0151361077349441,0,0.0,0
2008-02-19,0.007520309567310843,0.00908482752687007,0.0166051370941811,0.01491574336326581,0.01801880024717948,0.032934543610445566,0.043289679359561344,0.05229562256115386,0.09558530192071535,0.08244150164748815,0.09959255225066817,0.1820340538981564,0.6600915845279465,-0.1026270372010445,-0.0328292428143412,0.0234934677295769,0.0089983083036445,0,0.0,0
2008-02-20,0.00889602147171541,0.007435585721712373,0.016331607193427633,0.017646756615170466,0.014749736378164681,0.03239649299333536,0.05124371161354084,0.04283117027231251,0.09407488188585322,0.09766667710964518,0.08163300326022442,0.1792996803698692,0.564979804754213,-0.1058697360462716,-0.0391308282635466,0.0222743731400699,0.0188349012663397,0,0.0,0
2008-02-21,0.0073658187019693825,0.008865223766039947,0.016231042468009438,0.014612082487775449,0.0175865557086449,0.032198638196420326,0.04243992910151791,0.05107911059489323,0.09351903969641118,0.08091091678867833,0.09738135181840553,0.17829226860708358,0.3381214185439952,-0.092828351637279,-0.0216283611543838,0.0125847359603052,0.0110716652747926,0,0.0,0
2008-02-22,0.02406428722082078,0.023649256958445226,0.04771354417926599,0.04698038201018837,0.04617012405019686,0.09315050606038522,0.12822005651608792,0.12600867983123695,0.254228736347325,0.22384289008970823,0.21998233222018385,0.4438252223098922,0.383347294719225,-0.0900939062905562,-0.037604647187256,0.0434133022380616,0.0172264868454926,0,0.0,0
2008-02-25,0.008871723477461367,0.007325908088760572,0.016197631566222448,0.017599746046677422,0.0145331538174114,0.032132899864088627,0.05112081765503046,0.04221349014252713,0.09333430779755769,0.09747030918018369,0.08048701340288261,0.17795732258306618,0.4202048780964818,-0.0327820645070952,-0.0047098796710275,0.015397941205105,0.0034595672702666,0,0.0,0
